dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86579849,0.98684030,0.86531704,0.98671997,0.00000000,0.00000000,0.00000000,0.83322110,0.72109753,0.77274931,0.84807425
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88197709,0.98684030,0.88776420,0.98671997,0.50731140,1.00000000,0.67262097,0.91777300,0.88776420,0.88485280,0.86712495
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86220169,0.97859892,0.86398045,0.97799651,0.00000000,0.00000000,0.00000000,0.83128404,0.71998371,0.77112535,0.84284503
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89087699,0.97859892,0.88398371,0.97799651,0.68997863,0.98400000,0.81101810,0.93981556,0.88398371,0.90313498,0.87250311
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.85804465,0.97859892,0.86002235,0.97812151,0.00000000,0.00000000,0.00000000,0.82839495,0.71668529,0.76773033,0.83835313
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87392584,0.97859892,0.87093529,0.97812151,0.67284106,0.92550000,0.77622152,0.92282243,0.87093529,0.88622054,0.85229400
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.86543495,0.98013857,0.86682891,0.98009497,0.00000000,0.00000000,0.00000000,0.82942124,0.72235743,0.77162532,0.84595149
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87651560,0.98013857,0.87444076,0.98009497,0.68154762,0.91250000,0.77948292,0.91417180,0.87444076,0.88609169,0.85347896
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86050808,0.98352579,0.86413198,0.98249651,0.00000000,0.00000000,0.00000000,0.83057170,0.72010999,0.77068954,0.84116738
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87745733,0.98352579,0.87552665,0.98249651,0.67605701,0.93250000,0.78248400,0.92337673,0.87552665,0.88984336,0.85585643
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85444444,0.97888889,0.85937500,0.97762500,0.00000000,0.00000000,0.00000000,0.82954495,0.71614583,0.76793768,0.83599671
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84714372,0.97888889,0.84947917,0.97762500,0.45580055,0.80000000,0.57829505,0.87745026,0.84947917,0.84738216,0.82428271
