dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88142563,0.98217958,0.87858240,0.98128841,0.00000000,0.00000000,0.00000000,0.83277217,0.73215200,0.77902826,0.86386621
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89572031,0.98217958,0.89881867,0.98128841,0.53763441,1.00000000,0.69930070,0.92237790,0.89881867,0.89557838,0.88144089
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85606580,0.98766278,0.85299581,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.71082984,0.76692805,0.83788285
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87341772,0.98766278,0.87749651,0.98825768,0.48780488,1.00000000,0.65573770,0.91463415,0.87749651,0.87621767,0.85797296
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.84098698,0.98766278,0.84023045,0.98678073,0.00000000,0.00000000,0.00000000,0.83333333,0.70019204,0.76041595,0.82299991
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86015672,0.98766278,0.86685871,0.98678073,0.46296296,1.00000000,0.63291139,0.91049383,0.86685871,0.86590119,0.84439257
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88348184,0.98697738,0.88784218,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.73986848,0.78359134,0.86645166
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89752863,0.98697738,0.90653515,0.98763268,0.54054054,1.00000000,0.70175439,0.92342342,0.90653515,0.90055040,0.88366024
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86703221,0.98971899,0.86693436,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.72244530,0.77378294,0.84917061
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88306209,0.98971899,0.88911196,0.98964036,0.50761421,1.00000000,0.67340067,0.91793570,0.88911196,0.88601638,0.86815808
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.84141647,0.97690531,0.83964385,0.97727304,0.00000000,0.00000000,0.00000000,0.83093525,0.69970321,0.75942819,0.82139098
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87816363,0.97690531,0.86595321,0.97727304,0.66169154,0.99750000,0.79561316,0.94004383,0.86595321,0.89152128,0.85899662
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87297921,0.97151655,0.87553422,0.97276536,0.00000000,0.00000000,0.00000000,0.83226496,0.72961185,0.77659527,0.85414394
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90052972,0.97151655,0.89461185,0.97276536,0.70714286,0.99000000,0.82500000,0.94598214,0.89461185,0.91205150,0.88367216
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86913010,0.98229407,0.87161313,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.72634427,0.77586033,0.85012711
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89523249,0.98229407,0.88967761,0.98276536,0.69750890,0.98000000,0.81496881,0.94109225,0.88967761,0.90763209,0.87719512
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87066975,0.97921478,0.86988827,0.97526536,0.00000000,0.00000000,0.00000000,0.83088235,0.72490689,0.77411433,0.85133673
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.89994114,0.97921478,0.89074022,0.97526536,0.70567376,0.99500000,0.82572614,0.94611471,0.89074022,0.91072259,0.88303605
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85681293,0.98306390,0.86322277,0.98191341,0.00000000,0.00000000,0.00000000,0.82900433,0.71935230,0.76962863,0.83722637
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.88051795,0.98306390,0.87893564,0.98191341,0.67787611,0.95750000,0.79378238,0.92584485,0.87893564,0.89374742,0.85961561
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84603541,0.97613549,0.84960545,0.97490573,0.00000000,0.00000000,0.00000000,0.83333333,0.70800454,0.76537942,0.82663460
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88169511,0.97613549,0.87425454,0.97490573,0.66611018,0.99750000,0.79879880,0.94375433,0.87425454,0.89825386,0.86314283
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.87374904,0.97074673,0.87848813,0.97214036,0.00000000,0.00000000,0.00000000,0.81764706,0.73207344,0.77092980,0.85327937
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.82989994,0.97074673,0.84665677,0.97214036,0.65011820,0.68750000,0.66828676,0.86202535,0.84665677,0.83957589,0.79768144
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.84372594,0.98691301,0.84816690,0.98700768,0.00000000,0.00000000,0.00000000,0.83222958,0.70680575,0.76368479,0.82426411
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.87463214,0.98691301,0.86930575,0.98700768,0.65878378,0.97500000,0.78629032,0.93174347,0.86930575,0.88972472,0.85404396
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.84757506,0.97998460,0.84638617,0.97776536,0.00000000,0.00000000,0.00000000,0.83214286,0.70532181,0.76293292,0.82795011
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.88110653,0.97998460,0.87032181,0.97776536,0.66779089,0.99000000,0.79758308,0.93884478,0.87032181,0.89383127,0.86197704
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.87913780,0.97921478,0.87746508,0.97878841,0.00000000,0.00000000,0.00000000,0.82662192,0.73122090,0.77572472,0.85963746
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.90229547,0.97921478,0.89413757,0.97878841,0.72140221,0.97750000,0.83014862,0.93774425,0.89413757,0.90971695,0.88462471
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.84372594,0.98537336,0.83691690,0.98513268,0.00000000,0.00000000,0.00000000,0.83333333,0.69743075,0.75909855,0.82367613
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.87934079,0.98537336,0.86326408,0.98513268,0.66222962,0.99500000,0.79520480,0.94121737,0.86326408,0.89060761,0.86010555
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.87836798,0.97459584,0.88496508,0.97776536,0.00000000,0.00000000,0.00000000,0.82815735,0.73747090,0.77934984,0.85945105
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.88758093,0.97459584,0.89038757,0.97776536,0.70576923,0.91750000,0.79782609,0.91831549,0.89038757,0.89721974,0.86615307
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.85835258,0.98537336,0.86151885,0.98526536,0.00000000,0.00000000,0.00000000,0.83114035,0.71793238,0.76959562,0.83895067
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.87110065,0.98537336,0.87001571,0.98526536,0.66727605,0.91250000,0.77085533,0.91156918,0.87001571,0.88190732,0.84717988
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.86682063,0.97767513,0.86979399,0.97539804,0.00000000,0.00000000,0.00000000,0.82876712,0.72482833,0.77314445,0.84724586
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.86403767,0.97767513,0.86732833,0.97539804,0.66927593,0.85500000,0.75082327,0.89422573,0.86732833,0.87363419,0.83718679
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.87990762,0.97767513,0.88094972,0.97691341,0.00000000,0.00000000,0.00000000,0.82570806,0.73412477,0.77693813,0.86043375
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.88051795,0.97767513,0.88120810,0.97691341,0.70318725,0.88250000,0.78270510,0.90553121,0.88120810,0.88708961,0.85676949
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.86605081,0.98460354,0.86437849,0.98303073,0.00000000,0.00000000,0.00000000,0.83333333,0.72031541,0.77252396,0.84669298
