dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87868403,0.98944483,0.87608240,0.99027654,0.00000000,0.00000000,0.00000000,0.83333333,0.73006867,0.77795765,0.86130075
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89306811,0.98944483,0.89640200,0.99027654,0.53166849,0.99800000,0.69325312,0.92161246,0.89640200,0.89335577,0.87873930
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86959199,0.98568129,0.87031425,0.98585615,0.00000000,0.00000000,0.00000000,0.83311966,0.72526187,0.77474658,0.85066674
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88204826,0.98568129,0.87901187,0.98585615,0.68227147,0.92250000,0.78247808,0.92787492,0.87901187,0.89351477,0.86132341
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.88098537,0.98737490,0.88480936,0.98755307,0.00000000,0.00000000,0.00000000,0.83247581,0.73734113,0.78162966,0.86263646
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.90394350,0.98737490,0.90042446,0.98755307,0.71857630,0.97850000,0.82832262,0.94365858,0.90042446,0.91544869,0.88704229
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87652040,0.98491147,0.87876397,0.98575768,0.00000000,0.00000000,0.00000000,0.83247697,0.73230331,0.77868055,0.85787415
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87698646,0.98491147,0.87871997,0.98575768,0.68565685,0.87850000,0.76868397,0.91229755,0.87871997,0.88702000,0.85385001
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87698229,0.99399538,0.88202933,0.99440154,0.00000000,0.00000000,0.00000000,0.83269499,0.73502444,0.78025411,0.85848757
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90370806,0.99399538,0.90010777,0.99440154,0.71344161,0.99050000,0.82940939,0.94772347,0.90010777,0.91656543,0.88732878
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86625000,0.98680556,0.87037500,0.98637500,0.00000000,0.00000000,0.00000000,0.83199670,0.72531250,0.77465532,0.84810278
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88406494,0.98680556,0.89182969,0.98637500,0.53814545,0.99910314,0.69944816,0.92144780,0.89182969,0.89112676,0.86894775
