dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88622344,0.98766278,0.88049581,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.73374651,0.78005095,0.86893805
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89993972,0.98766278,0.90041318,0.98825768,0.54644809,1.00000000,0.70671378,0.92440801,0.90041318,0.89783658,0.88598146
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85332419,0.98834818,0.84803422,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.70669518,0.76449697,0.83496167
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87100663,0.98834818,0.87336185,0.98937500,0.48309179,1.00000000,0.65146580,0.91384863,0.87336185,0.87307461,0.85535236
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.87114462,0.99108979,0.87068436,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.72557030,0.77542096,0.85346915
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88667872,0.99108979,0.89223696,0.99187500,0.51546392,1.00000000,0.68027211,0.91924399,0.89223696,0.88879964,0.87203068
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88965045,0.99040439,0.89248254,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.74373545,0.78582624,0.87288022
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90295359,0.99040439,0.91040212,0.99125000,0.55401662,1.00000000,0.71301248,0.92566944,0.91040212,0.90466165,0.88943164
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.89307745,0.98971899,0.88871508,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.74059590,0.78399313,0.87625465
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90476190,0.98971899,0.90559590,0.99062500,0.55932203,0.99000000,0.71480144,0.92489221,0.90559590,0.90240637,0.89090034
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85373364,0.98383372,0.85526885,0.98500000,0.00000000,0.00000000,0.00000000,0.83333333,0.71272405,0.76760569,0.83450110
