dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96572995,0.98793694,0.96274372,0.98811383,0.00000000,0.00000000,0.00000000,0.83279596,0.80228643,0.81716621,0.95798915
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96540084,0.98793694,0.96278643,0.98811383,0.79687782,0.96300000,0.87193127,0.96167970,0.96278643,0.96053582,0.95861112
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.94056967,0.97721324,0.93109218,0.97785265,0.00000000,0.00000000,0.00000000,0.83200790,0.77591015,0.80246561,0.92781804
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95161860,0.97721324,0.94049348,0.97785265,0.83937997,0.98750000,0.90732840,0.96756878,0.94049348,0.95174795,0.94187383
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.93995381,0.97859892,0.93037640,0.97845880,0.00000000,0.00000000,0.00000000,0.83240119,0.77531366,0.80233119,0.92712923
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94102413,0.97859892,0.93273033,0.97845880,0.83019556,0.94450000,0.88284061,0.95130921,0.93273033,0.94021219,0.92873634
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93564280,0.98075443,0.92608101,0.98137919,0.00000000,0.00000000,0.00000000,0.83264273,0.77173417,0.80060224,0.92215717
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.94620365,0.98075443,0.93515084,0.98137919,0.82594523,0.98050000,0.89650239,0.96200170,0.93515084,0.94637893,0.93535638
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.94626636,0.98552733,0.93773603,0.98537919,0.00000000,0.00000000,0.00000000,0.83276055,0.78144669,0.80591930,0.93447211
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.95821071,0.98552733,0.94761336,0.98537919,0.85235101,0.99700000,0.91895997,0.97341042,0.94761336,0.95846205,0.94988074
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94166667,0.97875000,0.93212500,0.97825000,0.00000000,0.00000000,0.00000000,0.83166523,0.77677083,0.80282994,0.92962461
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.93553818,0.97875000,0.92609819,0.97825000,0.69900101,0.89596413,0.78201338,0.93227579,0.92609819,0.92433003,0.92367987
