dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96915696,0.98903358,0.96744413,0.98901536,0.00000000,0.00000000,0.00000000,0.83173224,0.80620345,0.81873143,0.96199229
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97227245,0.98903358,0.97203678,0.98901536,0.82572614,0.99500000,0.90249433,0.96881390,0.97203678,0.96888811,0.96688091
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96024674,0.98766278,0.95538059,0.98727304,0.00000000,0.00000000,0.00000000,0.83333333,0.79615049,0.81413647,0.95151054
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94816154,0.98766278,0.93948382,0.98727304,0.74782609,0.86000000,0.80000000,0.94354172,0.93948382,0.94024541,0.93758216
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97258396,0.98834818,0.96958450,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.80798708,0.82040096,0.96621010
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97588909,0.98834818,0.97465375,0.98888268,0.83333333,1.00000000,0.90909091,0.97222222,0.97465375,0.97191611,0.97123473
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96230295,0.98697738,0.96070182,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.80058485,0.81660157,0.95394657
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96323086,0.98697738,0.96225151,0.98763268,0.77911647,0.97000000,0.86414254,0.95955680,0.96225151,0.95886664,0.95614259
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96435915,0.98766278,0.96060754,0.98776536,0.00000000,0.00000000,0.00000000,0.83224756,0.80050628,0.81596061,0.95628623
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96745027,0.98766278,0.96550628,0.98776536,0.79838710,0.99000000,0.88392857,0.96426386,0.96550628,0.96276286,0.96121519
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93148576,0.97690531,0.91890363,0.97740573,0.00000000,0.00000000,0.00000000,0.83279221,0.76575303,0.79734759,0.91725805
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94643908,0.97690531,0.93158636,0.97740573,0.81893004,0.99500000,0.89841986,0.96684746,0.93158636,0.94605701,0.93597905
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.94534257,0.97151655,0.94043645,0.97464036,0.00000000,0.00000000,0.00000000,0.83333333,0.78369704,0.80749473,0.93349986
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.95821071,0.97151655,0.95036371,0.97464036,0.84925690,1.00000000,0.91848450,0.97487615,0.95036371,0.96057548,0.95000425
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95304080,0.98460354,0.94708450,0.98464036,0.00000000,0.00000000,0.00000000,0.83007957,0.78923708,0.80906956,0.94223294
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96174220,0.98460354,0.95423708,0.98464036,0.87224670,0.99000000,0.92740047,0.97145344,0.95423708,0.96174976,0.95381800
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.93995381,0.97459584,0.92931913,0.97477304,0.00000000,0.00000000,0.00000000,0.83278509,0.77443261,0.80186270,0.92707478
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94997057,0.97459584,0.93818261,0.97477304,0.83617021,0.98250000,0.90344828,0.96412608,0.93818261,0.94897545,0.93981065
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.93302540,0.97844496,0.91971718,0.97780377,0.00000000,0.00000000,0.00000000,0.83104928,0.76643098,0.79655348,0.91902456
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.94173043,0.97844496,0.92809765,0.97780377,0.82029598,0.97000000,0.88888889,0.96054078,0.92809765,0.94138204,0.92975719
