dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98012337,0.98286498,0.97793645,0.98240573,0.00000000,0.00000000,0.00000000,0.82769516,0.81494704,0.82116086,0.97515731
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92344786,0.98286498,0.89994704,0.98240573,0.85000000,0.51000000,0.63750000,0.92184627,0.89994704,0.90258940,0.90884979
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98492118,0.98903358,0.98526536,0.98950768,0.00000000,0.00000000,0.00000000,0.83124827,0.82105447,0.82608748,0.98117630
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93369500,0.98903358,0.91438780,0.98950768,0.86153846,0.56000000,0.67878788,0.93034749,0.91438780,0.91626906,0.92082126
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98423578,0.98697738,0.98365573,0.98615573,0.00000000,0.00000000,0.00000000,0.83021282,0.81971311,0.82490141,0.98028705
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92465341,0.98697738,0.90137977,0.98615573,0.85217391,0.49000000,0.62222222,0.92266216,0.90137977,0.90294018,0.91028876
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98355038,0.98697738,0.98303073,0.98763268,0.00000000,0.00000000,0.00000000,0.82555180,0.81919227,0.82230720,0.97939364
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92947559,0.98697738,0.90835894,0.98763268,0.89166667,0.53500000,0.66875000,0.92677326,0.90835894,0.90906016,0.91612275
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98423578,0.98971899,0.98316341,0.98964036,0.00000000,0.00000000,0.00000000,0.82660421,0.81930284,0.82289157,0.98026506
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93670886,0.98971899,0.91763617,0.98964036,0.89393939,0.59000000,0.71084337,0.93250665,0.91763617,0.91926338,0.92432254
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97228637,0.97536567,0.97227304,0.97602304,0.00000000,0.00000000,0.00000000,0.82178895,0.81022754,0.81595613,0.96499383
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.85932902,0.97536567,0.89231087,0.97602304,0.90783410,0.49250000,0.63857374,0.85032170,0.89231087,0.84896264,0.84015035
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96766744,0.97151655,0.96977304,0.97464036,0.00000000,0.00000000,0.00000000,0.81538579,0.80814420,0.81138687,0.95938775
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.86168334,0.97151655,0.89439420,0.97464036,0.91592920,0.51750000,0.66134185,0.85260348,0.89439420,0.85641679,0.84040573
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97998460,0.98229407,0.97990573,0.98276536,0.00000000,0.00000000,0.00000000,0.82519613,0.81658811,0.82084892,0.97469422
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94702766,0.98229407,0.95658811,0.98276536,0.95454545,0.84000000,0.89361702,0.94203555,0.95658811,0.94778637,0.93615407
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96766744,0.97921478,0.96539804,0.97526536,0.00000000,0.00000000,0.00000000,0.82377857,0.80449837,0.81399586,0.95943243
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.87639788,0.97921478,0.90116504,0.97526536,0.88549618,0.58000000,0.70090634,0.87327298,0.90116504,0.87593991,0.85563421
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97151655,0.98152425,0.96793645,0.98066341,0.00000000,0.00000000,0.00000000,0.82435856,0.80661371,0.81535296,0.96416509
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86815774,0.98152425,0.89536371,0.98066341,0.89121339,0.53250000,0.66666667,0.88038829,0.89536371,0.87426155,0.84777964
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97228637,0.97690531,0.97003841,0.97553073,0.00000000,0.00000000,0.00000000,0.82538473,0.80836534,0.81677019,0.96515181
