dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.93214531,0.98903358,0.92916480,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.77430400,0.80258558,0.91911957
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93996383,0.98903358,0.94047067,0.99000000,0.66837487,0.99700000,0.80021581,0.94430695,0.94047067,0.93575832,0.92993548
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.88360277,0.98352579,0.86250628,0.98390922,0.00000000,0.00000000,0.00000000,0.83333333,0.71875524,0.76919443,0.86477049
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91077104,0.98352579,0.88525524,0.98390922,0.72646162,0.99900000,0.84091743,0.95388944,0.88525524,0.90914337,0.89538945
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.85511932,0.98768283,0.83377933,0.98842807,0.00000000,0.00000000,0.00000000,0.83302469,0.69481611,0.75479462,0.83491483
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.88922896,0.98768283,0.86148277,0.98842807,0.68057064,1.00000000,0.80984346,0.94645313,0.86148277,0.88976853,0.87127989
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.83725943,0.98444958,0.81724581,0.98545461,0.00000000,0.00000000,0.00000000,0.83333333,0.68103818,0.74706949,0.81687225
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87333726,0.98444958,0.84612151,0.98545461,0.65242003,0.99050000,0.78652452,0.93647395,0.84612151,0.87636300,0.85308971
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.88036952,0.99199384,0.85651397,0.99207961,0.00000000,0.00000000,0.00000000,0.83333333,0.71376164,0.76562664,0.86123288
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90853443,0.99199384,0.88042831,0.99207961,0.72028706,1.00000000,0.83737934,0.95338118,0.88042831,0.90518986,0.89290854
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.87333333,0.98416667,0.85400000,0.98387500,0.00000000,0.00000000,0.00000000,0.83333333,0.71166667,0.76527611,0.85491931
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.89031870,0.98416667,0.87833333,0.98387500,0.55052899,1.00000000,0.70998343,0.92508816,0.87833333,0.88360668,0.87535188
