dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92871830,0.98697738,0.92466131,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.77055109,0.80052711,0.91524022
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93731163,0.98697738,0.93721776,0.98812500,0.65789474,1.00000000,0.79365079,0.94298246,0.93721776,0.93280224,0.92700749
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.93625771,0.98834818,0.93645950,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.78038291,0.80594922,0.92381494
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94394213,0.98834818,0.94704958,0.98937500,0.68259386,1.00000000,0.81135903,0.94709898,0.94704958,0.94117572,0.93449912
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92940370,0.99108979,0.92528631,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.77107193,0.80082307,0.91599901
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93791441,0.99108979,0.93773859,0.99187500,0.66006601,1.00000000,0.79522863,0.94334433,0.93773859,0.93336117,0.92767462
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93145990,0.98971899,0.92962291,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.77468575,0.80285623,0.91835543
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93911995,0.98971899,0.94051909,0.99062500,0.66555184,0.99500000,0.79759519,0.94324238,0.94051909,0.93532558,0.92895348
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.93488691,0.98903358,0.92979399,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.77482833,0.80277228,0.92218825
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94153104,0.98903358,0.93982833,0.99000000,0.67576792,0.99000000,0.80324544,0.94486660,0.93982833,0.93612688,0.93154268
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.86451116,0.98306390,0.83648045,0.98437500,0.00000000,0.00000000,0.00000000,0.83333333,0.69706704,0.75512579,0.84440169
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89640965,0.98306390,0.86373371,0.98437500,0.69444444,1.00000000,0.81967213,0.94907407,0.86373371,0.89173782,0.87922690
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.90762125,0.97382602,0.89587291,0.97750000,0.00000000,0.00000000,0.00000000,0.83333333,0.74656075,0.78667451,0.89076254
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.92819305,0.97382602,0.91239409,0.97750000,0.76833977,0.99500000,0.86710240,0.95878579,0.91239409,0.93017176,0.91499992
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.89376443,0.98460354,0.87269204,0.98513268,0.00000000,0.00000000,0.00000000,0.83333333,0.72724337,0.77471013,0.87544928
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.91877575,0.98460354,0.89391003,0.98513268,0.74349442,1.00000000,0.85287846,0.95724907,0.89391003,0.91685654,0.90441056
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87682833,0.98537336,0.85555168,0.98164804,0.00000000,0.00000000,0.00000000,0.83333333,0.71295973,0.76580619,0.85746938
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90582696,0.98537336,0.87962640,0.98164804,0.71428571,1.00000000,0.83333333,0.95238095,0.87962640,0.90469508,0.88983191
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.87528868,0.99076212,0.85193436,0.99089036,0.00000000,0.00000000,0.00000000,0.83333333,0.70994530,0.76365551,0.85576957
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.90464979,0.99076212,0.87661196,0.99089036,0.71174377,1.00000000,0.83160083,0.95195730,0.87661196,0.90225565,0.88847794
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.83756736,0.98460354,0.81273045,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.67727537,0.74339611,0.81698621
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87580930,0.98460354,0.84394204,0.98562500,0.65466448,1.00000000,0.79129575,0.94244408,0.84394204,0.87527873,0.85640215
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.85989222,0.97767513,0.84104399,0.98075768,0.00000000,0.00000000,0.00000000,0.83333333,0.70087000,0.75871294,0.83993511
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.89287816,0.97767513,0.86753666,0.98075768,0.68728522,1.00000000,0.81466395,0.94788087,0.86753666,0.89449026,0.87539636
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.85912240,0.99384142,0.83576117,0.99312500,0.00000000,0.00000000,0.00000000,0.83179012,0.69646764,0.75587661,0.83865870
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89228958,0.99384142,0.86313431,0.99312500,0.68728522,1.00000000,0.81466395,0.94633766,0.86313431,0.89165393,0.87450884
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.85373364,0.99230177,0.83528631,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.69607193,0.75561009,0.83369275
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.88816951,0.99230177,0.86273859,0.99187500,0.67796610,1.00000000,0.80808081,0.94632768,0.86273859,0.89029022,0.87020794
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.86528099,0.98999230,0.84407472,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.70339560,0.76037738,0.84530139
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89699823,0.98999230,0.87006227,0.99075768,0.69565217,1.00000000,0.82051282,0.94927536,0.87006227,0.89712952,0.87988414
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.81909161,0.98691301,0.79579958,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.66316632,0.73568256,0.79868069
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.86109476,0.98691301,0.82941632,0.98750000,0.62933754,0.99750000,0.77176015,0.93655626,0.82941632,0.86381920,0.84008585
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.84911470,0.97305620,0.83572277,0.97575768,0.00000000,0.00000000,0.00000000,0.83333333,0.69643564,0.75771620,0.82892401
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.88463802,0.97305620,0.86310230,0.97575768,0.67114094,1.00000000,0.80321285,0.94519016,0.86310230,0.89158501,0.86620953
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.84757506,0.98845266,0.82263617,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.68553014,0.74905118,0.82707722
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.87463214,0.98845266,0.84594681,0.98888268,0.66037736,0.96250000,0.78331638,0.92184450,0.84594681,0.87259352,0.85262840
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.83294842,0.98922248,0.81483240,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.67902700,0.74587758,0.81256685
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.87051207,0.98922248,0.84444367,0.98875000,0.64657980,0.99250000,0.78303748,0.93633473,0.84444367,0.87491472,0.85008912
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.83756736,0.98460354,0.81723813,0.98638268,0.00000000,0.00000000,0.00000000,0.83333333,0.68103177,0.74701992,0.81711250
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.87580930,0.98460354,0.84769844,0.98638268,0.65466448,1.00000000,0.79129575,0.94244408,0.84769844,0.87890254,0.85643565
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.88067744,0.99461124,0.84862081,0.99450768,0.00000000,0.00000000,0.00000000,0.83333333,0.70718401,0.76039628,0.86144206
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.90876986,0.99461124,0.87385068,0.99450768,0.72072072,1.00000000,0.83769634,0.95345345,0.87385068,0.90001234,0.89317465
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.87143957,0.98999230,0.85555168,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.71295973,0.76672238,0.85199218
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.90170689,0.98999230,0.87962640,0.99075768,0.70546737,1.00000000,0.82730093,0.95091123,0.87962640,0.90460587,0.88527538
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.88452656,0.99153195,0.86545740,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.72121450,0.77170654,0.86550388
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.91171277,0.99153195,0.88788117,0.99125000,0.72727273,1.00000000,0.84210526,0.95454545,0.88788117,0.91205741,0.89637200
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.88144727,0.98922248,0.85663059,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.71385882,0.76451026,0.86249191
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.90935845,0.98922248,0.88052549,0.98937500,0.72202166,1.00000000,0.83857442,0.95367028,0.88052549,0.90427267,0.89391842
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.88375674,0.99461124,0.85630936,0.99450768,0.00000000,0.00000000,0.00000000,0.83333333,0.71359113,0.76479772,0.86473438
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.91112419,0.99461124,0.88025780,0.99450768,0.72595281,1.00000000,0.84121977,0.95432547,0.88025780,0.90500102,0.89580227
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.87361111,0.98125000,0.85375000,0.98000000,0.00000000,0.00000000,0.00000000,0.83333333,0.71145833,0.76515430,0.85513971
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.89055923,0.98125000,0.87812500,0.98000000,0.55061728,1.00000000,0.71019108,0.92510288,0.87812500,0.88351949,0.87556755
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.87638889,0.98541667,0.85375000,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.71145833,0.76436798,0.85807103
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.89296452,0.98541667,0.87812500,0.98625000,0.55610973,1.00000000,0.71474359,0.92601829,0.87812500,0.88349191,0.87818222
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.88541667,0.99166667,0.87000000,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.72500000,0.77382157,0.86766233
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.90078172,0.99166667,0.89166667,0.99062500,0.57474227,1.00000000,0.72995090,0.92912371,0.89166667,0.89548005,0.88663088
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.86041667,0.97986111,0.83812500,0.98125000,0.00000000,0.00000000,0.00000000,0.83333333,0.69843750,0.75693583,0.84139342
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.87913410,0.97986111,0.86510417,0.98125000,0.52594340,1.00000000,0.68933539,0.92099057,0.86510417,0.87182506,0.86333833
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.87083333,0.98263889,0.85437500,0.98125000,0.00000000,0.00000000,0.00000000,0.83333333,0.71197917,0.76610087,0.85233006
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.88815394,0.98263889,0.87864583,0.98125000,0.54523227,1.00000000,0.70569620,0.92420538,0.87864583,0.88371690,0.87304041
