dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86415353,0.98766278,0.85909078,0.98845461,0.00000000,0.00000000,0.00000000,0.83333333,0.71590899,0.76969728,0.84611238
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88040989,0.98766278,0.88240899,0.98845461,0.50240879,0.99900000,0.66846387,0.91695239,0.88240899,0.88105608,0.86526236
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.79445727,0.98121632,0.75810684,0.98170461,0.00000000,0.00000000,0.00000000,0.83333333,0.63175570,0.70994286,0.77471080
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.84284873,0.98121632,0.79842237,0.98170461,0.60039799,1.00000000,0.75010768,0.93339966,0.79842237,0.83496081,0.82053220
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.75196305,0.98845266,0.71833101,0.98782961,0.00000000,0.00000000,0.00000000,0.83333333,0.59860917,0.68876985,0.73510118
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.81035903,0.98845266,0.76527584,0.98782961,0.55438426,1.00000000,0.71316544,0.92573071,0.76527584,0.80763076,0.78581840
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.72117013,0.98229407,0.68736941,0.98273115,0.00000000,0.00000000,0.00000000,0.83320158,0.57280784,0.66987412,0.70746197
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.78681577,0.98229407,0.73947451,0.98273115,0.52541922,1.00000000,0.68873925,0.92077145,0.73947451,0.78466400,0.76107764
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.75750577,0.99045420,0.72404260,0.99000768,0.00000000,0.00000000,0.00000000,0.83333333,0.60336883,0.69104530,0.74021742
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.81447911,0.99045420,0.76995216,0.99000768,0.55937170,0.99950000,0.71728818,0.92642534,0.76995216,0.81054231,0.79019407
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.76791667,0.97958333,0.73475000,0.97712500,0.00000000,0.00000000,0.00000000,0.83333333,0.61229167,0.69696264,0.75150338
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.79903788,0.97958333,0.77895833,0.97712500,0.40049012,1.00000000,0.57184824,0.90008169,0.77895833,0.79227068,0.78145898
