dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.85469500,0.98492118,0.85125349,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.70937791,0.76606136,0.83647667
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87221218,0.98492118,0.87604458,0.98526536,0.48543689,1.00000000,0.65359477,0.91423948,0.87604458,0.87499382,0.85670172
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85949280,0.98560658,0.85513617,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.71261348,0.76801293,0.84125814
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87582881,0.98560658,0.87844681,0.98687500,0.49257426,0.99500000,0.65894040,0.91485034,0.87844681,0.87757711,0.86022093
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86977382,0.99040439,0.86549581,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.72124651,0.77301339,0.85180468
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88547318,0.99040439,0.88791318,0.99075768,0.51282051,1.00000000,0.67796610,0.91880342,0.88791318,0.88600774,0.87057872
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.86086361,0.98834818,0.85589385,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.71324488,0.76781957,0.84287360
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.87763713,0.98834818,0.87991155,0.98937500,0.49627792,1.00000000,0.66334992,0.91604632,0.87991155,0.87837789,0.86249296
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.87594243,0.98903358,0.86767458,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.72306215,0.77357914,0.85814879
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89089813,0.98903358,0.88972882,0.99000000,0.52493438,1.00000000,0.68846816,0.92082240,0.88972882,0.88832383,0.87631750
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.76520400,0.97998460,0.72064944,0.97964036,0.00000000,0.00000000,0.00000000,0.83333333,0.60054120,0.68503151,0.74683455
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.82048264,0.97998460,0.76720787,0.97964036,0.56737589,1.00000000,0.72398190,0.92789598,0.76720787,0.80569516,0.79648674
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.79753657,0.97228637,0.76015712,0.97575768,0.00000000,0.00000000,0.00000000,0.83333333,0.63346427,0.71306818,0.77727629
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.84520306,0.97228637,0.80013094,0.97575768,0.60331825,1.00000000,0.75258702,0.93388638,0.80013094,0.83849935,0.82288959
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.80138568,0.98383372,0.76642458,0.98437500,0.00000000,0.00000000,0.00000000,0.83333333,0.63868715,0.71504265,0.78128348
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.84814597,0.98383372,0.80535382,0.98437500,0.60790274,1.00000000,0.75614367,0.93465046,0.80535382,0.84106659,0.82623363
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.78906851,0.98306390,0.75415154,0.98187500,0.00000000,0.00000000,0.00000000,0.83333333,0.62845961,0.70683592,0.76966364
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.83872866,0.98306390,0.79512628,0.98187500,0.59347181,1.00000000,0.74487896,0.93224530,0.79512628,0.83098241,0.81617082
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.81909161,0.98691301,0.78915154,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.65762628,0.72973604,0.79849603
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86168334,0.98691301,0.82429295,0.98687500,0.62992126,1.00000000,0.77294686,0.93832021,0.82429295,0.85856052,0.84088021
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.72132410,0.98460354,0.68555517,0.98464036,0.00000000,0.00000000,0.00000000,0.83333333,0.57129597,0.66864699,0.70732410
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.78693349,0.98460354,0.73796264,0.98464036,0.52493438,1.00000000,0.68846816,0.92082240,0.73796264,0.78339169,0.76108008
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.75750577,0.99307159,0.72564944,0.99375000,0.00000000,0.00000000,0.00000000,0.83333333,0.60470787,0.69451236,0.74012508
