dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97724469,0.98958191,0.97590223,0.99010615,0.00000000,0.00000000,0.00000000,0.83275750,0.81325186,0.82284068,0.97186558
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96057866,0.98958191,0.95308520,0.99010615,0.83713173,0.83900000,0.83651694,0.95658926,0.95308520,0.95421487,0.95244890
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95735181,0.97998460,0.95202723,0.98071229,0.00000000,0.00000000,0.00000000,0.83225592,0.79335603,0.81209266,0.94754250
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.96621542,0.97998460,0.95918936,0.98071229,0.88041331,0.99500000,0.93413540,0.97731867,0.95918936,0.96700964,0.95929948
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95719784,0.98383372,0.95073184,0.98414036,0.00000000,0.00000000,0.00000000,0.83114470,0.79227654,0.81097636,0.94727492
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.96138905,0.98383372,0.95477654,0.98414036,0.87945975,0.97500000,0.92461156,0.96909204,0.95477654,0.96105068,0.95322981
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95504234,0.98506543,0.94944413,0.98533729,0.00000000,0.00000000,0.00000000,0.83173540,0.79120345,0.81077133,0.94475649
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.95244261,0.98506543,0.94853678,0.98533729,0.86912031,0.94400000,0.90487276,0.95545707,0.94853678,0.95109522,0.94224920
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96951501,0.99199384,0.96405377,0.99200768,0.00000000,0.00000000,0.00000000,0.83245164,0.80337814,0.81750055,0.96212196
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.97374926,0.99199384,0.96796148,0.99200768,0.91138905,0.98750000,0.94779105,0.97990159,0.96796148,0.97333175,0.96816736
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95736111,0.98333333,0.95225000,0.98250000,0.00000000,0.00000000,0.00000000,0.83134369,0.79354167,0.81179451,0.94790141
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95393867,0.98333333,0.94884809,0.98250000,0.77759915,0.93183857,0.84672326,0.95365906,0.94884809,0.94917877,0.94490784
