dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97806717,0.98697738,0.97753841,0.98763268,0.00000000,0.00000000,0.00000000,0.83238095,0.81461534,0.82338592,0.97283460
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95780591,0.98697738,0.94961534,0.98763268,0.83937824,0.81000000,0.82442748,0.95360729,0.94961534,0.95127890,0.94899177
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97052776,0.99040439,0.96869413,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.80724511,0.82000357,0.96377509
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95901145,0.99040439,0.95307845,0.99075768,0.80275229,0.87500000,0.83732057,0.95403234,0.95307845,0.95302374,0.95052004
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98012337,0.99040439,0.97941341,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.81617784,0.82465261,0.97535579
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95539482,0.99040439,0.94534451,0.99075768,0.84239130,0.77500000,0.80729167,0.95278216,0.94534451,0.94826160,0.94625698
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97875257,0.98971899,0.97668645,0.99062500,0.00000000,0.00000000,0.00000000,0.83140655,0.81390538,0.82251054,0.97365406
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.97830018,0.98971899,0.97640538,0.99062500,0.87053571,0.97500000,0.91981132,0.97345262,0.97640538,0.97431865,0.97389543
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97875257,0.99040439,0.97717877,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.81431564,0.82365077,0.97370834
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95238095,0.99040439,0.94098231,0.99075768,0.83060109,0.76000000,0.79373368,0.94907191,0.94098231,0.94419144,0.94258028
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95535027,0.98229407,0.94918645,0.98375000,0.00000000,0.00000000,0.00000000,0.83333333,0.79098871,0.81141249,0.94515756
