dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92954078,0.98930775,0.92954679,0.99015154,0.00000000,0.00000000,0.00000000,0.83313253,0.77462232,0.80263153,0.91635489
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93767330,0.98930775,0.94078899,0.99015154,0.66159885,0.99700000,0.79499565,0.94298272,0.94078899,0.93493472,0.92747526
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92486528,0.98521940,0.92696369,0.98557961,0.00000000,0.00000000,0.00000000,0.83268451,0.77246974,0.80121833,0.91023084
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.90217775,0.98521940,0.91055307,0.98557961,0.74407411,0.82850000,0.77126122,0.92607662,0.91055307,0.90929866,0.88712848
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92686682,0.98660508,0.92914176,0.98680307,0.00000000,0.00000000,0.00000000,0.83086419,0.77428480,0.80132392,0.91237808
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92713361,0.98660508,0.92895147,0.98680307,0.80120661,0.92800000,0.85870608,0.94123553,0.92895147,0.93171606,0.91255035
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93086990,0.98429561,0.93350489,0.98513268,0.00000000,0.00000000,0.00000000,0.83184313,0.77792074,0.80380766,0.91697773
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84944085,0.98429561,0.87542074,0.98513268,0.71554448,0.58500000,0.63805422,0.86874978,0.87542074,0.85605610,0.82551836
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92609700,0.99399538,0.92846020,0.99440154,0.00000000,0.00000000,0.00000000,0.83270306,0.77371683,0.80184464,0.91174566
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93855209,0.99399538,0.93688350,0.99440154,0.80519668,0.97900000,0.88322723,0.95877187,0.93688350,0.94487539,0.92667964
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91263889,0.98722222,0.91612500,0.98675000,0.00000000,0.00000000,0.00000000,0.83136622,0.76343750,0.79572030,0.89725407
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92327120,0.98722222,0.92875888,0.98675000,0.64104626,0.99192825,0.77871624,0.93631641,0.92875888,0.92458612,0.91113028
