dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.94105552,0.98766278,0.93984986,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.78320822,0.80741133,0.92926968
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94755877,0.98766278,0.94904155,0.98825768,0.69824561,0.99500000,0.82061856,0.94915755,0.94904155,0.94392131,0.93849332
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91226868,0.98766278,0.91163059,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.75969216,0.79463732,0.89712955
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92284509,0.98766278,0.92635882,0.98875000,0.60975610,1.00000000,0.75757576,0.93495935,0.92635882,0.92089995,0.91102460
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.93214531,0.99108979,0.93320182,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.77766818,0.80435726,0.91926522
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94032550,0.99108979,0.94433485,0.99187500,0.66889632,1.00000000,0.80160321,0.94481605,0.94433485,0.93795779,0.93050297
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93145990,0.99040439,0.93306913,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.77755761,0.80427832,0.91851733
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93972272,0.99040439,0.94422428,0.99125000,0.66666667,1.00000000,0.80000000,0.94444444,0.94422428,0.93761165,0.92984317
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.93077450,0.98971899,0.92998254,0.99062500,0.00000000,0.00000000,0.00000000,0.83232932,0.77498545,0.80247343,0.91759266
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93791441,0.98971899,0.93998545,0.99062500,0.66442953,0.99000000,0.79518072,0.94153621,0.93998545,0.93428289,0.92751226
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.92994611,0.98229407,0.93195182,0.98375000,0.00000000,0.00000000,0.00000000,0.83333333,0.77662651,0.80393423,0.91593866
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.94349617,0.98229407,0.94120985,0.98375000,0.81275720,0.98750000,0.89164786,0.96357558,0.94120985,0.95007128,0.93252368
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93148576,0.97921478,0.93462291,0.98200768,0.00000000,0.00000000,0.00000000,0.83333333,0.77885242,0.80499967,0.91773600
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93996469,0.97921478,0.94010242,0.98200768,0.81302521,0.96750000,0.88356164,0.95609244,0.94010242,0.94575643,0.92797041
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92840647,0.98999230,0.93382682,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.77818901,0.80470834,0.91431446
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92819305,0.98999230,0.93277235,0.98937500,0.79956897,0.92750000,0.85879630,0.93909552,0.93277235,0.93408316,0.91334770
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91147036,0.98460354,0.91034218,0.98200768,0.00000000,0.00000000,0.00000000,0.83215962,0.75861848,0.79358063,0.89511783
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93172454,0.98460354,0.92486848,0.98200768,0.77777778,0.99750000,0.87404162,0.96063196,0.92486848,0.93874061,0.91918070
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.92301771,0.98999230,0.92407472,0.99075768,0.00000000,0.00000000,0.00000000,0.83126294,0.77006227,0.79886876,0.90804726
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.76751030,0.98999230,0.81381227,0.99075768,0.51724138,0.26250000,0.34825871,0.81098760,0.81381227,0.77784181,0.74261993
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.92147806,0.98537336,0.92284218,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.76903515,0.79980180,0.90642331
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.92878164,0.98537336,0.92778515,0.98562500,0.78881988,0.95250000,0.86296716,0.94584124,0.92778515,0.93432297,0.91450546
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.93995381,0.98460354,0.94520950,0.98687500,0.00000000,0.00000000,0.00000000,0.82630522,0.78767458,0.80615791,0.92703542
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91288994,0.98460354,0.92517458,0.98687500,0.82294264,0.82500000,0.82397004,0.91611191,0.92517458,0.91474795,0.89539645
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.91762895,0.98922248,0.92015363,0.98875000,0.00000000,0.00000000,0.00000000,0.83122329,0.76679469,0.79740643,0.90203652
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.93643320,0.98922248,0.93304469,0.98875000,0.79166667,0.99750000,0.88274336,0.96211297,0.93304469,0.94401454,0.92465316
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.92917629,0.98383372,0.92922486,0.98325768,0.00000000,0.00000000,0.00000000,0.83222222,0.77435405,0.80221919,0.91490963
