dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98793694,0.98793694,0.98811383,0.98811383,0.00000000,0.00000000,0.00000000,0.98685590,0.98811383,0.98743420,0.98480693
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86883665,0.98793694,0.82342819,0.98811383,0.00000000,0.00000000,0.00000000,0.72327211,0.82342819,0.76959162,0.84910001
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97721324,0.97721324,0.97785265,0.97785265,0.00000000,0.00000000,0.00000000,0.93976556,0.94536464,0.94226829,0.97108675
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74749853,0.97721324,0.81512721,0.97785265,0.20000000,0.00150000,0.00297767,0.67050590,0.81512721,0.70187859,0.73542294
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97844496,0.97859892,0.97833380,0.97845880,0.00000000,0.00000000,0.00000000,0.90864782,0.91311534,0.91058804,0.97263386
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.74985285,0.97859892,0.81652817,0.97845880,0.35714286,0.00750000,0.01458842,0.70025426,0.81652817,0.70752049,0.73639563
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98075443,0.98075443,0.98137919,0.98137919,0.00000000,0.00000000,0.00000000,0.94413452,0.94859067,0.94614267,0.97554221
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74997057,0.98075443,0.81789932,0.98137919,0.20000000,0.00050000,0.00099751,0.67719197,0.81789932,0.70709000,0.73832705
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98552733,0.98552733,0.98537919,0.98537919,0.00000000,0.00000000,0.00000000,0.98104702,0.98537919,0.98295995,0.98163169
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75361978,0.98552733,0.82123266,0.98537919,0.20000000,0.00050000,0.00099751,0.68945544,0.82123266,0.71125179,0.74648027
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97875000,0.97875000,0.97825000,0.97825000,0.00000000,0.00000000,0.00000000,0.97327840,0.97825000,0.97550658,0.97320472
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85965123,0.97875000,0.83030549,0.97825000,0.20000000,0.09058296,0.12469136,0.75042298,0.83030549,0.77607220,0.84199994
