dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97559973,0.98958191,0.97509148,0.99050000,0.00000000,0.00000000,0.00000000,0.83246949,0.81257623,0.82234926,0.96986627
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95973478,0.98958191,0.95324290,0.99050000,0.82930064,0.84400000,0.83436770,0.95553187,0.95324290,0.95363858,0.95147730
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95873749,0.98645112,0.95449302,0.98698115,0.00000000,0.00000000,0.00000000,0.83244990,0.79541085,0.81326513,0.94921704
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.94761624,0.98645112,0.94732751,0.98698115,0.87504708,0.91150000,0.89188635,0.95409971,0.94732751,0.94971836,0.93639155
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95427252,0.98799076,0.94998184,0.98817807,0.00000000,0.00000000,0.00000000,0.83235639,0.79165154,0.81130741,0.94389432
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95350206,0.98799076,0.95015154,0.98817807,0.86694437,0.95100000,0.90685908,0.96047367,0.95015154,0.95443759,0.94354371
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95196305,0.98521940,0.94655028,0.98607961,0.00000000,0.00000000,0.00000000,0.83254485,0.78879190,0.80985732,0.94117275
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.94196586,0.98521940,0.94037523,0.98607961,0.85499485,0.90950000,0.88106319,0.94329188,0.94037523,0.94030915,0.92958313
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97259430,0.99353349,0.96752723,0.99392807,0.00000000,0.00000000,0.00000000,0.83236803,0.80627270,0.81899664,0.96584304
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.97221895,0.99353349,0.96810603,0.99392807,0.91866099,0.97100000,0.94379002,0.97506577,0.96810603,0.97105299,0.96624071
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95847222,0.98666667,0.95425000,0.98625000,0.00000000,0.00000000,0.00000000,0.83135735,0.79520833,0.81272254,0.94920356
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.96343957,0.98666667,0.96112762,0.98625000,0.79493637,0.99551570,0.88389632,0.96305426,0.96112762,0.95967662,0.95657912
