dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97011652,0.98245374,0.97068226,0.98193226,0.00000000,0.00000000,0.00000000,0.82656625,0.80890189,0.81752397,0.96298259
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94020494,0.98245374,0.92923522,0.98193226,0.81905519,0.72200000,0.76550039,0.93136690,0.92923522,0.92889718,0.92791565
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95919938,0.97428791,0.95911034,0.97185265,0.00000000,0.00000000,0.00000000,0.81768555,0.79925861,0.80822985,0.94901356
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.84343732,0.97428791,0.87717528,0.97185265,0.81316785,0.46750000,0.57273869,0.83901086,0.87717528,0.83693584,0.82163868
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96027714,0.97505774,0.95994763,0.97325419,0.00000000,0.00000000,0.00000000,0.81577662,0.79995635,0.80749356,0.95039203
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.84861683,0.97505774,0.88095635,0.97325419,0.85350886,0.48600000,0.61042635,0.84895609,0.88095635,0.84078283,0.82844511
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96089299,0.97413395,0.96105726,0.97264804,0.00000000,0.00000000,0.00000000,0.81549919,0.80088105,0.80793966,0.95105131
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.80435550,0.97413395,0.85021439,0.97264804,0.75052772,0.29600000,0.41038337,0.80687385,0.85021439,0.79115055,0.78368374
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96274057,0.97782910,0.96022416,0.97316341,0.00000000,0.00000000,0.00000000,0.81978229,0.80018680,0.80968052,0.95341512
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.82907593,0.97782910,0.86602014,0.97316341,0.81492904,0.39500000,0.50026899,0.84036807,0.86602014,0.82470030,0.80824401
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95236111,0.96694444,0.94925000,0.96237500,0.00000000,0.00000000,0.00000000,0.80887892,0.79104167,0.79949872,0.94099906
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.89007817,0.96694444,0.87235706,0.96237500,0.66828737,0.48789238,0.52934916,0.86418458,0.87235706,0.85573569,0.87093275
