dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97189856,0.97943797,0.97191341,0.97878841,0.00000000,0.00000000,0.00000000,0.82453181,0.80992784,0.81711077,0.96495644
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93791441,0.97943797,0.92492784,0.97878841,0.84662577,0.69000000,0.76033058,0.92960596,0.92492784,0.92548868,0.92512955
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96093215,0.98217958,0.96289804,0.98227304,0.00000000,0.00000000,0.00000000,0.82539771,0.80241504,0.81358063,0.95193878
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94273659,0.98217958,0.93741504,0.98227304,0.78260870,0.81000000,0.79606880,0.93105937,0.93741504,0.93366001,0.93086724
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97326936,0.98286498,0.97316341,0.98191341,0.00000000,0.00000000,0.00000000,0.83072917,0.81096951,0.82069259,0.96691043
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94755877,0.98286498,0.93763617,0.98191341,0.81720430,0.76000000,0.78756477,0.94037533,0.93763617,0.93861688,0.93655164
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97121316,0.98217958,0.97128841,0.98128841,0.00000000,0.00000000,0.00000000,0.82340403,0.80940701,0.81617273,0.96421243
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94213382,0.98217958,0.93107367,0.98128841,0.84883721,0.73000000,0.78494624,0.93314118,0.93107367,0.93081317,0.93019976
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97326936,0.98560658,0.97414804,0.98539804,0.00000000,0.00000000,0.00000000,0.82876853,0.81179004,0.82006312,0.96689490
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93068113,0.98560658,0.91512337,0.98539804,0.80000000,0.62000000,0.69859155,0.92265267,0.91512337,0.91590715,0.91683003
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95919938,0.97690531,0.96017109,0.97602304,0.00000000,0.00000000,0.00000000,0.81745466,0.80014257,0.80842317,0.94913318
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89523249,0.97690531,0.91472591,0.97602304,0.88424437,0.68750000,0.77355837,0.88126029,0.91472591,0.88857598,0.87649365
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96381832,0.96997691,0.96566341,0.97164804,0.00000000,0.00000000,0.00000000,0.82093749,0.80471951,0.81262086,0.95467415
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.79399647,0.96997691,0.84513617,0.97164804,0.76377953,0.24250000,0.36812144,0.79337450,0.84513617,0.78465661,0.76920647
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96381832,0.98383372,0.96714036,0.98339036,0.00000000,0.00000000,0.00000000,0.82196742,0.80595030,0.81372023,0.95487542
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.84402590,0.98383372,0.88178364,0.98339036,0.84259259,0.45500000,0.59090909,0.84694259,0.88178364,0.84092916,0.82283896
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95919938,0.97228637,0.95553073,0.96615573,0.00000000,0.00000000,0.00000000,0.81747313,0.79627561,0.80671294,0.94891098
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90876986,0.97228637,0.92044227,0.96615573,0.89489489,0.74500000,0.81309686,0.89236910,0.92044227,0.90153290,0.89095109
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94996151,0.96843726,0.94704609,0.96204609,0.00000000,0.00000000,0.00000000,0.81059505,0.78920507,0.79967204,0.93747407
