dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86442769,0.98999315,0.86436243,0.99057961,0.00000000,0.00000000,0.00000000,0.83333333,0.72030203,0.77227190,0.84673643
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88077155,0.98999315,0.88696869,0.99057961,0.50438104,1.00000000,0.67005827,0.91739684,0.88696869,0.88394828,0.86590546
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86451116,0.98090839,0.86801466,0.98183729,0.00000000,0.00000000,0.00000000,0.83248397,0.72334555,0.77344734,0.84548609
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89381989,0.98090839,0.88817889,0.98183729,0.69352555,0.98900000,0.81516346,0.94352897,0.88817889,0.90708051,0.87616682
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87328714,0.98352579,0.87551816,0.98376536,0.00000000,0.00000000,0.00000000,0.83033680,0.72959846,0.77610982,0.85437723
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89417304,0.98352579,0.88993180,0.98376536,0.70461601,0.96200000,0.81260280,0.93552326,0.88993180,0.90494270,0.87550136
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87282525,0.98537336,0.87232891,0.98568575,0.00000000,0.00000000,0.00000000,0.83198152,0.72694076,0.77553057,0.85376300
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87686875,0.98537336,0.87527409,0.98568575,0.68336783,0.89000000,0.77137570,0.91273420,0.87527409,0.88591565,0.85374686
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86343341,0.99183988,0.86475349,0.99175768,0.00000000,0.00000000,0.00000000,0.83268678,0.72062791,0.77193214,0.84436416
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89287816,0.99183988,0.88537791,0.99175768,0.69192358,0.98850000,0.81373694,0.94321891,0.88537791,0.90522854,0.87508516
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86347222,0.98319444,0.86812500,0.98237500,0.00000000,0.00000000,0.00000000,0.83199551,0.72343750,0.77352113,0.84534040
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88165965,0.98319444,0.88995469,0.98237500,0.53348051,0.99910314,0.69535346,0.92068672,0.88995469,0.88931040,0.86645586
