dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.86291981,0.98629198,0.85826117,0.98700768,0.00000000,0.00000000,0.00000000,0.83333333,0.71521764,0.76902867,0.84497858
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87944545,0.98629198,0.88188431,0.98700768,0.50000000,1.00000000,0.66666667,0.91666667,0.88188431,0.88013978,0.86439454
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.84372858,0.99108979,0.84273045,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.70227537,0.76175167,0.82566377
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86256781,0.99108979,0.86894204,0.99138268,0.46728972,1.00000000,0.63694268,0.91121495,0.86894204,0.86790878,0.84683074
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86291981,0.99246059,0.86515363,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.72096136,0.77282003,0.84511113
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87944545,0.99246059,0.88762803,0.99312500,0.50000000,1.00000000,0.66666667,0.91666667,0.88762803,0.88393114,0.86445959
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.89102125,0.98971899,0.89373254,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.74477712,0.78630251,0.87438328
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90415913,0.98971899,0.91144378,0.99062500,0.55710306,1.00000000,0.71556351,0.92618384,0.91144378,0.90556309,0.89077027
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86154901,0.99040439,0.86193436,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.71827863,0.77145665,0.84354540
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87823990,0.99040439,0.88494530,0.99075768,0.49751244,1.00000000,0.66445183,0.91625207,0.88494530,0.88219862,0.86307214
