dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98752570,0.98766278,0.98832961,0.98845461,0.00000000,0.00000000,0.00000000,0.82580740,0.82360801,0.82463377,0.98434259
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87353828,0.98766278,0.83060801,0.98845461,0.49629870,0.04200000,0.07712473,0.81245131,0.83060801,0.78550093,0.85395541
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98044650,0.98121632,0.98107961,0.98170461,0.00000000,0.00000000,0.00000000,0.82124028,0.81756634,0.81930200,0.97519680
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74985285,0.98121632,0.81773301,0.98170461,0.04444444,0.00100000,0.00195599,0.66354773,0.81773301,0.71597923,0.73793531
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98583526,0.98845266,0.98570461,0.98782961,0.00000000,0.00000000,0.00000000,0.82575167,0.82142051,0.82353560,0.98201924
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.82625074,0.98845266,0.87275384,0.98782961,0.76249307,0.30800000,0.41958413,0.82296805,0.87275384,0.81671614,0.80998288
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98229407,0.98229407,0.98273115,0.98273115,0.00000000,0.00000000,0.00000000,0.85437496,0.85177595,0.85297822,0.97752150
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75456151,0.98229407,0.82144262,0.98273115,0.33252525,0.01500000,0.02859264,0.75253054,0.82144262,0.73202252,0.75606580
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98999230,0.99045420,0.98963268,0.99000768,0.00000000,0.00000000,0.00000000,0.89191196,0.89066993,0.89124231,0.98727305
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.76185992,0.99045420,0.82819390,0.99000768,0.79517544,0.02100000,0.04051524,0.81558458,0.82819390,0.73253621,0.76152627
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97916667,0.97958333,0.97675000,0.97712500,0.00000000,0.00000000,0.00000000,0.85092596,0.84675000,0.84873094,0.97373178
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84810583,0.97958333,0.81425729,0.97712500,0.04500000,0.00179372,0.00344834,0.73965861,0.81425729,0.76751504,0.82765814
