dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91980809,0.97875257,0.91210545,0.97816341,0.00000000,0.00000000,0.00000000,0.83121693,0.76008787,0.79344268,0.90495695
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92766727,0.97875257,0.92425454,0.97816341,0.63548387,0.98500000,0.77254902,0.93557855,0.92425454,0.92143319,0.91571552
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90952707,0.98217958,0.91060754,0.98227304,0.00000000,0.00000000,0.00000000,0.83165863,0.75883962,0.79341919,0.89387343
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91922845,0.98217958,0.92383962,0.98227304,0.60550459,0.99000000,0.75142315,0.93145976,0.92383962,0.91813897,0.90661203
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.93762851,0.98286498,0.93475559,0.98191341,0.00000000,0.00000000,0.00000000,0.83276836,0.77896299,0.80483290,0.92526013
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93972272,0.98286498,0.93812966,0.98191341,0.67971530,0.95500000,0.79417879,0.94127873,0.93812966,0.93487485,0.92884572
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92117889,0.98217958,0.92418645,0.98128841,0.00000000,0.00000000,0.00000000,0.83182322,0.77015538,0.79958856,0.90688697
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92465341,0.98217958,0.92848871,0.98128841,0.62706271,0.95000000,0.75546720,0.93016468,0.92848871,0.92252401,0.91185242
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92940370,0.98629198,0.92725559,0.98602304,0.00000000,0.00000000,0.00000000,0.83224044,0.77271299,0.80125051,0.91588381
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93610609,0.98629198,0.93687966,0.98602304,0.66107383,0.98500000,0.79116466,0.94078006,0.93687966,0.93233444,0.92525761
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.92532717,0.97690531,0.92761522,0.97602304,0.00000000,0.00000000,0.00000000,0.82215447,0.77301269,0.79646024,0.90989050
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92642731,0.97690531,0.92801269,0.97602304,0.81222707,0.93000000,0.86713287,0.93438739,0.92801269,0.92852329,0.91120676
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92763664,0.97151655,0.92791899,0.97339036,0.00000000,0.00000000,0.00000000,0.83011014,0.77326583,0.80035634,0.91294997
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90582696,0.97151655,0.91243250,0.97339036,0.78773585,0.83500000,0.81067961,0.91291391,0.91243250,0.90736426,0.88640908
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.93379523,0.98383372,0.93931913,0.98339036,0.00000000,0.00000000,0.00000000,0.83122363,0.78276595,0.80606410,0.92031893
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.86344909,0.98383372,0.88859928,0.98339036,0.75147929,0.63500000,0.68834688,0.87430761,0.88859928,0.86863214,0.83921914
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.92763664,0.97228637,0.92494413,0.96615573,0.00000000,0.00000000,0.00000000,0.82489304,0.77078678,0.79688446,0.91251702
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.91936433,0.97228637,0.91953678,0.96615573,0.80586907,0.89250000,0.84697509,0.92291589,0.91953678,0.91932238,0.90222846
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.90223249,0.96843726,0.90127095,0.96204609,0.00000000,0.00000000,0.00000000,0.81648773,0.75105912,0.78186079,0.88351095
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.89876398,0.96843726,0.89897579,0.96204609,0.76344086,0.88750000,0.82080925,0.91043438,0.89897579,0.90145445,0.87761964
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.91531948,0.97844496,0.91962291,0.97789804,0.00000000,0.00000000,0.00000000,0.82708333,0.76635242,0.79521989,0.89914913
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87639788,0.97844496,0.89135242,0.97789804,0.74257426,0.75000000,0.74626866,0.88678273,0.89135242,0.88307088,0.85092704
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.92917629,0.97074673,0.93382682,0.97151536,0.00000000,0.00000000,0.00000000,0.81781510,0.77818901,0.79707241,0.91401309
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.89699823,0.97074673,0.91027235,0.97151536,0.80661578,0.79250000,0.79949559,0.90055448,0.91027235,0.89841509,0.87662818
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.92301771,0.98306390,0.92699022,0.98263268,0.00000000,0.00000000,0.00000000,0.82712215,0.77249185,0.79856060,0.90773934
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89817540,0.98306390,0.90874185,0.98263268,0.77672209,0.81750000,0.79658952,0.90546289,0.90874185,0.90124897,0.87745031
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.92301771,0.97228637,0.91909218,0.96767109,0.00000000,0.00000000,0.00000000,0.81963693,0.76591015,0.79184341,0.90682318
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.90935845,0.97228637,0.91007682,0.96767109,0.79907621,0.86500000,0.83073229,0.91211072,0.91007682,0.90819161,0.89021958
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.90146266,0.96920708,0.89594972,0.96342877,0.00000000,0.00000000,0.00000000,0.82236842,0.74662477,0.78241341,0.88303348
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.81400824,0.96920708,0.83495810,0.96342877,0.64242424,0.53000000,0.58082192,0.84228137,0.83495810,0.82196787,0.78196471
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.93995381,0.97921478,0.94392109,0.97964036,0.00000000,0.00000000,0.00000000,0.82604167,0.78660091,0.80566757,0.92697070
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.84167157,0.97921478,0.87368424,0.97964036,0.74642857,0.52250000,0.61470588,0.86079198,0.87368424,0.84749452,0.81832198
