dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97354352,0.98903358,0.97252723,0.99000000,0.00000000,0.00000000,0.00000000,0.83219909,0.81043936,0.82111878,0.96736779
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96311031,0.98903358,0.95827270,0.99000000,0.82520741,0.88700000,0.85415874,0.95836416,0.95827270,0.95772973,0.95550920
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95565820,0.98352579,0.94997416,0.98390922,0.00000000,0.00000000,0.00000000,0.83105849,0.79164514,0.81061176,0.94546560
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95726898,0.98352579,0.95206180,0.98390922,0.87469445,0.96250000,0.91633037,0.96754142,0.95206180,0.95881482,0.94813051
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95088530,0.98768283,0.94508799,0.98842807,0.00000000,0.00000000,0.00000000,0.83209702,0.78757332,0.80892217,0.93986821
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95668040,0.98768283,0.95015666,0.98842807,0.86215345,0.97550000,0.91519179,0.96858959,0.95015666,0.95804582,0.94764223
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.94842186,0.98444958,0.94271718,0.98545461,0.00000000,0.00000000,0.00000000,0.83209217,0.78559765,0.80798066,0.93695438
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.92242496,0.98444958,0.92526432,0.98545461,0.83559375,0.83800000,0.83575365,0.92219353,0.92526432,0.92039143,0.90641447
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96597383,0.99199384,0.95873184,0.99207961,0.00000000,0.00000000,0.00000000,0.83253768,0.79894320,0.81515512,0.95781026
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96527369,0.99199384,0.95944320,0.99207961,0.89859142,0.96300000,0.92946008,0.97023900,0.95944320,0.96385347,0.95784251
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95444444,0.98416667,0.94912500,0.98387500,0.00000000,0.00000000,0.00000000,0.83143785,0.79093750,0.81048398,0.94444758
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95947084,0.98416667,0.95625888,0.98387500,0.77745793,0.99192825,0.87161589,0.95993219,0.95625888,0.95523567,0.95192759
