dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97395476,0.98697738,0.97329609,0.98812500,0.00000000,0.00000000,0.00000000,0.83142857,0.81108007,0.82110178,0.96783037
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95418927,0.98697738,0.94608007,0.98812500,0.81818182,0.81000000,0.81407035,0.94937509,0.94608007,0.94736633,0.94464937
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97601097,0.98834818,0.97566341,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.81305284,0.82302811,0.97038220
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96383363,0.98834818,0.95888617,0.98937500,0.83333333,0.87500000,0.85365854,0.95958501,0.95888617,0.95894662,0.95628917
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97532557,0.99108979,0.97454609,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.81212174,0.82255458,0.96954486
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97588909,0.99108979,0.97545507,0.99187500,0.84482759,0.98000000,0.90740741,0.97202094,0.97545507,0.97275177,0.97109394
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97052776,0.98971899,0.97017109,0.99062500,0.00000000,0.00000000,0.00000000,0.82956685,0.80847591,0.81884308,0.96365104
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96805304,0.98971899,0.96680924,0.99062500,0.82969432,0.95000000,0.88578089,0.96226118,0.96680924,0.96370902,0.96158699
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97189856,0.98903358,0.96895950,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.80746625,0.82006633,0.96543048
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95358650,0.98903358,0.94413291,0.99000000,0.80000000,0.82000000,0.80987654,0.94857860,0.94413291,0.94587491,0.94392651
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95458045,0.98306390,0.94865573,0.98437500,0.00000000,0.00000000,0.00000000,0.83161193,0.79054644,0.81026786,0.94415224
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95173632,0.98306390,0.94762977,0.98437500,0.86866359,0.94250000,0.90407674,0.96422917,0.94762977,0.95495197,0.94121196
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95919938,0.97382602,0.95717877,0.97750000,0.00000000,0.00000000,0.00000000,0.83006536,0.79764898,0.81340169,0.94970897
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.96233078,0.97382602,0.95973231,0.97750000,0.88610478,0.97250000,0.92729440,0.96811160,0.95973231,0.96327607,0.95433229
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96689761,0.98460354,0.96316341,0.98513268,0.00000000,0.00000000,0.00000000,0.83278867,0.80263617,0.81732796,0.95892298
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.97233667,0.98460354,0.96763617,0.98513268,0.90410959,0.99000000,0.94510740,0.97920996,0.96763617,0.97283664,0.96648941
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.94688222,0.98537336,0.93905377,0.98164804,0.00000000,0.00000000,0.00000000,0.83103926,0.78254481,0.80565497,0.93502151
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95762213,0.98537336,0.94796148,0.98164804,0.85745140,0.99250000,0.92004635,0.97042743,0.94796148,0.95746868,0.94901206
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95073133,0.99076212,0.94181913,0.99089036,0.00000000,0.00000000,0.00000000,0.82978723,0.78484928,0.80640630,0.93952231
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.94231901,0.99076212,0.93734928,0.99089036,0.85714286,0.91500000,0.88512696,0.95572895,0.93734928,0.94554076,0.92960684
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.94611239,0.98460354,0.94043645,0.98562500,0.00000000,0.00000000,0.00000000,0.83223322,0.78369704,0.80701506,0.93416793
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.94997057,0.98460354,0.94411371,0.98562500,0.84988962,0.96250000,0.90269637,0.95828310,0.94411371,0.95026653,0.93938468
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95381062,0.97767513,0.95257682,0.98075768,0.00000000,0.00000000,0.00000000,0.83116883,0.79381401,0.81197256,0.94333939
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.96468511,0.97767513,0.96048068,0.98075768,0.87336245,1.00000000,0.93240093,0.97672924,0.96048068,0.96737272,0.95758505
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95765974,0.99384142,0.95441341,0.99312500,0.00000000,0.00000000,0.00000000,0.83219955,0.79534451,0.81318600,0.94793631
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.96409653,0.99384142,0.95951117,0.99312500,0.87946429,0.98500000,0.92924528,0.97280766,0.95951117,0.96525978,0.95662840
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95073133,0.99230177,0.94405377,0.99187500,0.00000000,0.00000000,0.00000000,0.83279396,0.78671148,0.80877718,0.93967070
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.94585050,0.99230177,0.94171148,0.99187500,0.85517241,0.93000000,0.89101796,0.96089197,0.94171148,0.95023694,0.93397980
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94611239,0.98999230,0.93395950,0.99075768,0.00000000,0.00000000,0.00000000,0.83208955,0.77829958,0.80366006,0.93422672
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.95879929,0.98999230,0.94496625,0.99075768,0.85287846,1.00000000,0.92059839,0.97423596,0.94496625,0.95709313,0.95063322
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.94611239,0.98691301,0.93761522,0.98750000,0.00000000,0.00000000,0.00000000,0.83278146,0.78134602,0.80599412,0.93419999
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.93231313,0.98691301,0.92926269,0.98750000,0.83726415,0.88750000,0.86165049,0.93221853,0.92926269,0.92927694,0.91767464
