dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91912269,0.98697738,0.91689595,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76407996,0.79702972,0.90461530
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92887281,0.98697738,0.93074662,0.98763268,0.62893082,1.00000000,0.77220077,0.93815514,0.93074662,0.92572985,0.91764797
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91501028,0.98697738,0.91019204,0.98714036,0.00000000,0.00000000,0.00000000,0.83333333,0.75849337,0.79386783,0.90001659
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92525618,0.98697738,0.92516003,0.98714036,0.61728395,1.00000000,0.76335878,0.93621399,0.92516003,0.92109429,0.91360583
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91638108,0.99108979,0.91390363,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.76158636,0.79556541,0.90163408
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92646172,0.99108979,0.92825303,0.99138268,0.62111801,1.00000000,0.76628352,0.93685300,0.92825303,0.92327933,0.91501381
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92940370,0.98903358,0.93020950,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.77517458,0.80302717,0.91617166
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93791441,0.98903358,0.94184125,0.99000000,0.66006601,1.00000000,0.79522863,0.94334433,0.94184125,0.93556528,0.92779201
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90198766,0.99040439,0.90274791,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75228992,0.79070204,0.88593319
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91380350,0.99040439,0.91895659,0.99075768,0.58309038,1.00000000,0.73664825,0.93051506,0.91895659,0.91347675,0.90109238
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.90839107,0.98460354,0.90822277,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.75685230,0.79279776,0.89188922
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92230724,0.98460354,0.91810230,0.98526536,0.76482213,0.96750000,0.85430464,0.94790686,0.91810230,0.92868103,0.90743891
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92455735,0.97305620,0.92752095,0.97602304,0.00000000,0.00000000,0.00000000,0.83020833,0.77293412,0.80022535,0.90967877
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90523838,0.97305620,0.91335079,0.97602304,0.78009259,0.84250000,0.81009615,0.91402141,0.91335079,0.90834027,0.88579330
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92378753,0.98537336,0.92837291,0.98526536,0.00000000,0.00000000,0.00000000,0.83020833,0.77364409,0.80061170,0.90888752
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.91759859,0.98537336,0.92322742,0.98526536,0.78901099,0.89750000,0.83976608,0.92835092,0.92322742,0.92199873,0.90066187
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91377983,0.98152425,0.91498254,0.98026536,0.00000000,0.00000000,0.00000000,0.83109620,0.76248545,0.79525559,0.89763830
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90052972,0.98152425,0.90540212,0.98026536,0.75717439,0.85750000,0.80422040,0.91179444,0.90540212,0.90459606,0.87990366
