dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97464016,0.98286498,0.97490573,0.98240573,0.00000000,0.00000000,0.00000000,0.82737262,0.81242144,0.81971658,0.96850005
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95599759,0.98286498,0.94908811,0.98240573,0.85863874,0.82000000,0.83887468,0.94574048,0.94908811,0.94676455,0.94689871
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96367375,0.98903358,0.96589036,0.98950768,0.00000000,0.00000000,0.00000000,0.83147114,0.80490864,0.81786778,0.95558440
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94153104,0.98903358,0.93490864,0.98950768,0.75362319,0.78000000,0.76658477,0.92475888,0.93490864,0.92791981,0.92983642
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96024674,0.98560658,0.96178073,0.98490573,0.00000000,0.00000000,0.00000000,0.82870370,0.80148394,0.81469984,0.95142649
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94394213,0.98560658,0.93898394,0.98490573,0.75688073,0.82500000,0.78947368,0.92968966,0.93898394,0.93298872,0.93262003
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96161755,0.98560658,0.96352304,0.98589036,0.00000000,0.00000000,0.00000000,0.82421003,0.80293587,0.81315201,0.95279439
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93309222,0.98560658,0.92376920,0.98589036,0.77127660,0.72500000,0.74742268,0.91625703,0.92376920,0.91772645,0.91969938
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96504455,0.98834818,0.96615573,0.98839036,0.00000000,0.00000000,0.00000000,0.82639897,0.80512977,0.81542601,0.95703086
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92163954,0.98834818,0.90596311,0.98839036,0.73780488,0.60500000,0.66483516,0.90019873,0.90596311,0.89817039,0.90654573
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95919938,0.97459584,0.96191341,0.97602304,0.00000000,0.00000000,0.00000000,0.82275205,0.80159451,0.81182089,0.94939360
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.86874632,0.97459584,0.89742784,0.97602304,0.84558824,0.57500000,0.68452381,0.85767012,0.89742784,0.86149868,0.84787025
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96535797,0.96997691,0.96816341,0.97339036,0.00000000,0.00000000,0.00000000,0.82341270,0.80680284,0.81467795,0.95695002
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.84638022,0.96997691,0.88346951,0.97339036,0.84018265,0.46000000,0.59450727,0.85012928,0.88346951,0.84232236,0.82641659
