dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97299520,0.98629198,0.97104260,0.98621997,0.00000000,0.00000000,0.00000000,0.83212207,0.80920216,0.82045072,0.96666508
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95768535,0.98629198,0.95020216,0.98621997,0.81772792,0.84600000,0.83128836,0.95173190,0.95020216,0.95063294,0.94884719
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95781370,0.97659738,0.95302723,0.97687151,0.00000000,0.00000000,0.00000000,0.83068838,0.79418936,0.81183395,0.94798462
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.94596822,0.97659738,0.94543936,0.97687151,0.87517115,0.90750000,0.89082492,0.94957833,0.94543936,0.94681480,0.93416608
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95688992,0.97813703,0.95127374,0.97814804,0.00000000,0.00000000,0.00000000,0.82945560,0.79272812,0.81051715,0.94676537
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94302531,0.97813703,0.94239479,0.97814804,0.87363561,0.89800000,0.88516016,0.94633260,0.94239479,0.94349560,0.93062902
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95026944,0.97844496,0.94194064,0.97827304,0.00000000,0.00000000,0.00000000,0.82656210,0.78495054,0.80496932,0.93872514
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.92878164,0.97844496,0.92811720,0.97827304,0.85657851,0.85900000,0.85726081,0.93090466,0.92811720,0.92837969,0.91336377
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96104696,0.98229407,0.95398184,0.98133380,0.00000000,0.00000000,0.00000000,0.83099785,0.79498487,0.81229716,0.95189635
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.94585050,0.98229407,0.94440154,0.98133380,0.88155735,0.89650000,0.88734997,0.95391169,0.94440154,0.94801217,0.93441061
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95583333,0.97805556,0.94962500,0.97762500,0.00000000,0.00000000,0.00000000,0.82822403,0.79135417,0.80920247,0.94586667
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95285628,0.97805556,0.94695955,0.97762500,0.78249558,0.93363229,0.85079234,0.94579830,0.94695955,0.94453078,0.94354818
