dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98094585,0.98875942,0.97917877,0.98915922,0.00000000,0.00000000,0.00000000,0.83274437,0.81598231,0.82422521,0.97636139
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95684147,0.98875942,0.94614898,0.98915922,0.85273157,0.78100000,0.81455368,0.95389652,0.94614898,0.94915298,0.94796878
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96320246,0.97998460,0.95934567,0.98049651,0.00000000,0.00000000,0.00000000,0.83225751,0.79945473,0.81542423,0.95450317
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95044144,0.97998460,0.95095473,0.98049651,0.88575688,0.90900000,0.89609837,0.95122601,0.95095473,0.94982771,0.93992615
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96428022,0.98337182,0.95989874,0.98446229,0.00000000,0.00000000,0.00000000,0.83118391,0.79991562,0.81514621,0.95571933
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.96515597,0.98337182,0.96124895,0.98446229,0.89776635,0.96800000,0.93136853,0.96967021,0.96124895,0.96485705,0.95768311
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96320246,0.98137028,0.95822835,0.98164804,0.00000000,0.00000000,0.00000000,0.83062917,0.79852363,0.81414368,0.95443436
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.95785756,0.98137028,0.95527363,0.98164804,0.89373295,0.94050000,0.91586042,0.95876168,0.95527363,0.95595040,0.94887122
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97675135,0.99076212,0.97216760,0.99041690,0.00000000,0.00000000,0.00000000,0.83177920,0.81013966,0.82075518,0.97088807
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.97798705,0.99076212,0.97380633,0.99041690,0.93222779,0.98200000,0.95640234,0.98030894,0.97380633,0.97682583,0.97319757
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96819444,0.98541667,0.96487500,0.98475000,0.00000000,0.00000000,0.00000000,0.83053664,0.80406250,0.81698438,0.96076859
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.97053518,0.98541667,0.96833754,0.98475000,0.83754457,0.98565022,0.90528810,0.96835445,0.96833754,0.96699435,0.96476294
