dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97875257,0.98697738,0.97668645,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.81390538,0.82346198,0.97368518
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94816154,0.98697738,0.93473871,0.98763268,0.82386364,0.72500000,0.77127660,0.94498117,0.93473871,0.93860932,0.93758706
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97601097,0.98766278,0.97320182,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.81100151,0.82192516,0.97037279
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95358650,0.98766278,0.94266818,0.98776536,0.81865285,0.79000000,0.80407125,0.94916827,0.94266818,0.94533343,0.94397278
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98286498,0.99040439,0.98092877,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.81744064,0.82528340,0.97869814
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96805304,0.99040439,0.96077398,0.99075768,0.87309645,0.86000000,0.86649874,0.96479854,0.96077398,0.96261596,0.96132071
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98286498,0.98766278,0.98142109,0.98776536,0.00000000,0.00000000,0.00000000,0.83090936,0.81785091,0.82428402,0.97866545
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95177818,0.98766278,0.93868424,0.98776536,0.86826347,0.72500000,0.79019074,0.94997612,0.93868424,0.94258614,0.94207058
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98423578,0.99108979,0.98365573,0.99187500,0.00000000,0.00000000,0.00000000,0.83281250,0.81971311,0.82617151,0.98038539
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96262809,0.99108979,0.95387977,0.99187500,0.87978142,0.80500000,0.84073107,0.96055851,0.95387977,0.95662007,0.95489274
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95996921,0.98152425,0.95449022,0.98151536,0.00000000,0.00000000,0.00000000,0.83279396,0.79540852,0.81355668,0.95057199
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96468511,0.98152425,0.95874185,0.98151536,0.88487585,0.98000000,0.93001186,0.97333401,0.95874185,0.96522305,0.95719246
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95919938,0.97305620,0.95905377,0.97714036,0.00000000,0.00000000,0.00000000,0.83225108,0.79921148,0.81528530,0.94982122
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.95585639,0.97305620,0.95671148,0.97714036,0.87906977,0.94500000,0.91084337,0.95792919,0.95671148,0.95644691,0.94641277
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97305620,0.98383372,0.97030377,0.98401536,0.00000000,0.00000000,0.00000000,0.83183575,0.80858648,0.82002638,0.96633811
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.97292525,0.98383372,0.97066981,0.98401536,0.92180095,0.97250000,0.94647202,0.97755929,0.97066981,0.97391312,0.96698804
