dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96997944,0.98766278,0.97183729,0.98845461,0.00000000,0.00000000,0.00000000,0.82990386,0.80986441,0.81961143,0.96308301
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96226643,0.98766278,0.96086441,0.98845461,0.82115603,0.90600000,0.85986816,0.95540651,0.96086441,0.95719679,0.95463129
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96243264,0.98121632,0.96349302,0.98170461,0.00000000,0.00000000,0.00000000,0.82904172,0.80291085,0.81567065,0.95346024
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.85909358,0.98121632,0.89016085,0.98170461,0.76999800,0.52350000,0.59688979,0.86482758,0.89016085,0.85816979,0.84158744
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96120092,0.98845266,0.96334148,0.98782961,0.00000000,0.00000000,0.00000000,0.82922581,0.80278457,0.81558851,0.95209788
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91559741,0.98845266,0.93070123,0.98782961,0.86827783,0.76750000,0.81180814,0.91857669,0.93070123,0.92006875,0.89921314
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97197844,0.98229407,0.97354190,0.98273115,0.00000000,0.00000000,0.00000000,0.82820701,0.81128492,0.81956244,0.96497865
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.78775750,0.98229407,0.84286825,0.98273115,0.58680800,0.18950000,0.27803641,0.81577173,0.84286825,0.78392240,0.77985945
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97367206,0.99045420,0.97411802,0.99000768,0.00000000,0.00000000,0.00000000,0.82898770,0.81176501,0.82017570,0.96721720
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.91359623,0.99045420,0.93151501,0.99000768,0.90540384,0.71850000,0.79176215,0.91145818,0.93151501,0.91155584,0.89989801
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95597222,0.97958333,0.95587500,0.97712500,0.00000000,0.00000000,0.00000000,0.82703057,0.79656250,0.81136880,0.94608690
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.93217078,0.97958333,0.92630839,0.97712500,0.73635623,0.77847534,0.74246506,0.92904377,0.92630839,0.92361703,0.91956608
