dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97875257,0.98492118,0.97964036,0.98526536,0.00000000,0.00000000,0.00000000,0.82965009,0.81636697,0.82286529,0.97364927
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95599759,0.98492118,0.94803364,0.98526536,0.85405405,0.79000000,0.82077922,0.95065947,0.94803364,0.94897863,0.94676618
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96984236,0.98560658,0.97200768,0.98687500,0.00000000,0.00000000,0.00000000,0.83057090,0.81000640,0.82005937,0.96290232
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96745027,0.98560658,0.96833973,0.98687500,0.82251082,0.95000000,0.88167053,0.96053908,0.96833973,0.96345256,0.96092592
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97121316,0.99040439,0.97276536,0.99075768,0.00000000,0.00000000,0.00000000,0.83239700,0.81063780,0.82128963,0.96460900
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96624473,0.99040439,0.96563780,0.99075768,0.81938326,0.93000000,0.87119438,0.95866969,0.96563780,0.96130980,0.95942759
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96367375,0.98834818,0.96638268,0.98937500,0.00000000,0.00000000,0.00000000,0.82789855,0.80531890,0.81622116,0.95548702
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95539482,0.98834818,0.95448557,0.98937500,0.79203540,0.89500000,0.84037559,0.94582470,0.95448557,0.94906420,0.94640044
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96641535,0.98903358,0.96839036,0.99000000,0.00000000,0.00000000,0.00000000,0.82900276,0.80699197,0.81762168,0.95876744
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96624473,0.98903358,0.96782530,0.99000000,0.81779661,0.96500000,0.88532110,0.96133957,0.96782530,0.96317875,0.95963630
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95535027,0.97998460,0.95839036,0.97964036,0.00000000,0.00000000,0.00000000,0.83121693,0.79865864,0.81450129,0.94510296
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.85226604,0.97998460,0.88490864,0.97964036,0.79310345,0.51750000,0.62632375,0.84145538,0.88490864,0.84862623,0.82779610
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96766744,0.97228637,0.97102304,0.97575768,0.00000000,0.00000000,0.00000000,0.82604744,0.80918587,0.81736153,0.95969863
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.76044732,0.97228637,0.82376920,0.97575768,0.51470588,0.08750000,0.14957265,0.77991825,0.82376920,0.75057847,0.75021771
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96689761,0.98383372,0.96852304,0.98437500,0.00000000,0.00000000,0.00000000,0.82922716,0.80710254,0.81797594,0.95887670
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93172454,0.98383372,0.94335254,0.98437500,0.89344262,0.81750000,0.85378590,0.92534082,0.94335254,0.93112672,0.91776381
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96150885,0.98306390,0.96092877,0.98187500,0.00000000,0.00000000,0.00000000,0.83065364,0.80077398,0.81542828,0.95231922
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92642731,0.98306390,0.93619064,0.98187500,0.87601078,0.81250000,0.84306096,0.93876717,0.93619064,0.93599921,0.91105633
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.96073903,0.98691301,0.95859986,0.98687500,0.00000000,0.00000000,0.00000000,0.82806345,0.79883322,0.81308622,0.95130372
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.82460271,0.98691301,0.86258322,0.98687500,0.77272727,0.38250000,0.51170569,0.83865627,0.86258322,0.82451831,0.80110325
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.96766744,0.98460354,0.97089036,0.98464036,0.00000000,0.00000000,0.00000000,0.82860577,0.80907530,0.81864716,0.95975508
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.92701589,0.98460354,0.94157530,0.98464036,0.89830508,0.79500000,0.84350133,0.92854803,0.94157530,0.93317511,0.91199197
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96689761,0.99307159,0.97250000,0.99375000,0.00000000,0.00000000,0.00000000,0.82727273,0.81041667,0.81849233,0.95897035
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.94585050,0.99307159,0.95666667,0.99375000,0.90463918,0.87750000,0.89086294,0.94397090,0.95666667,0.94909165,0.93422434
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.96150885,0.99153195,0.96589036,0.99125000,0.00000000,0.00000000,0.00000000,0.82937470,0.80490864,0.81674894,0.95255576
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.86874632,0.99153195,0.89949197,0.99125000,0.83150183,0.56750000,0.67459138,0.87471778,0.89949197,0.87103765,0.84818874
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95996921,0.98691301,0.96276536,0.98562500,0.00000000,0.00000000,0.00000000,0.83077529,0.80230447,0.81621925,0.95063524
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.91936433,0.98691301,0.93355447,0.98562500,0.86538462,0.78750000,0.82460733,0.92313807,0.93355447,0.92658310,0.90248193
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94996151,0.98614319,0.94466131,0.98388268,0.00000000,0.00000000,0.00000000,0.83010054,0.78721776,0.80783484,0.93857299
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.91701001,0.98614319,0.92221776,0.98388268,0.84155844,0.81000000,0.82547771,0.92250867,0.92221776,0.92045624,0.89917874
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97305620,0.98229407,0.97339036,0.98089036,0.00000000,0.00000000,0.00000000,0.83078410,0.81115864,0.82082745,0.96635407
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.81871689,0.98229407,0.86407530,0.98089036,0.79874214,0.31750000,0.45438283,0.85828524,0.86407530,0.82089655,0.80573459
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97074673,0.97536567,0.97450768,0.97875000,0.00000000,0.00000000,0.00000000,0.82414481,0.81208973,0.81781570,0.96343651
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74926427,0.97536567,0.81708973,0.97875000,0.31578947,0.03000000,0.05479452,0.76301409,0.81708973,0.73796750,0.74856846
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.97536567,0.98691301,0.97602304,0.98750000,0.00000000,0.00000000,0.00000000,0.82883170,0.81335254,0.82097404,0.96910577
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.82931136,0.98691301,0.87251920,0.98750000,0.84523810,0.35500000,0.50000000,0.86675023,0.87251920,0.83070430,0.81656801
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.97459584,0.98614319,0.97513268,0.98500000,0.00000000,0.00000000,0.00000000,0.82920320,0.81261057,0.82076053,0.96816036
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75103002,0.98614319,0.81677723,0.98500000,0.27027027,0.02500000,0.04576659,0.75350835,0.81677723,0.73747189,0.74922743
