dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86703221,0.98917066,0.86673743,0.98973115,0.00000000,0.00000000,0.00000000,0.83333333,0.72228119,0.77350003,0.84931637
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88306209,0.98917066,0.88894786,0.98973115,0.50860376,1.00000000,0.67397683,0.91810063,0.88894786,0.88582950,0.86825779
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86682063,0.97906082,0.86905237,0.97952304,0.00000000,0.00000000,0.00000000,0.83200877,0.72421031,0.77393835,0.84773155
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88357858,0.97906082,0.88054365,0.97952304,0.68553650,0.93800000,0.79119767,0.92687402,0.88054365,0.89522281,0.86276220
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86066205,0.98198614,0.86431006,0.98294344,0.00000000,0.00000000,0.00000000,0.83100776,0.72025838,0.77099377,0.84133741
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.88605062,0.98198614,0.88167505,0.98294344,0.68419010,0.96850000,0.80128963,0.93565388,0.88167505,0.89913631,0.86673155
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.86882217,0.98044650,0.86965503,0.98030726,0.00000000,0.00000000,0.00000000,0.82993030,0.72471252,0.77310855,0.84948982
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88699235,0.98044650,0.88237919,0.98030726,0.69425144,0.94600000,0.80015537,0.92669560,0.88237919,0.89653783,0.86653555
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86374134,0.99107005,0.86876816,0.99091690,0.00000000,0.00000000,0.00000000,0.83268093,0.72397346,0.77395456,0.84484965
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89358446,0.99107005,0.88905680,0.99091690,0.69270503,0.99050000,0.81495348,0.94425760,0.88905680,0.90786863,0.87607028
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86013889,0.98527778,0.86300000,0.98475000,0.00000000,0.00000000,0.00000000,0.83111387,0.71916667,0.77065734,0.84189338
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87889357,0.98527778,0.88583333,0.98475000,0.53015850,1.00000000,0.69232611,0.91947362,0.88583333,0.88604503,0.86353121
