dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.85880740,0.98697738,0.85894204,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.71578503,0.76959238,0.84094003
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87582881,0.98697738,0.88245170,0.98763268,0.49261084,1.00000000,0.66006601,0.91543514,0.88245170,0.87960338,0.86069439
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.87045922,0.98766278,0.86809008,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.72340840,0.77418053,0.85266351
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88607595,0.98766278,0.89007507,0.98776536,0.51413882,1.00000000,0.67911715,0.91902314,0.89007507,0.88736672,0.87132581
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.87114462,0.99108979,0.87363827,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.72803189,0.77673975,0.85362490
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88667872,0.99108979,0.89469856,0.99187500,0.51546392,1.00000000,0.68027211,0.91924399,0.89469856,0.89011844,0.87213772
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88485264,0.98903358,0.88564595,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.73803829,0.78264430,0.86774102
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89873418,0.98903358,0.90470496,0.99000000,0.54347826,1.00000000,0.70422535,0.92391304,0.90470496,0.90001519,0.88485022
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.84989719,0.99108979,0.84737081,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.70614234,0.76434319,0.83161241
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.86799277,0.99108979,0.87280901,0.99138268,0.47732697,1.00000000,0.64620355,0.91288783,0.87280901,0.87204378,0.85228082
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85450346,0.97844496,0.86059008,0.97914804,0.00000000,0.00000000,0.00000000,0.83333333,0.71715840,0.77058868,0.83534980
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88816951,0.97844496,0.88340840,0.97914804,0.67857143,0.99750000,0.80769231,0.94531000,0.88340840,0.90468570,0.87038194
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.88837567,0.97228637,0.89341131,0.97526536,0.00000000,0.00000000,0.00000000,0.83223684,0.74450943,0.78562949,0.87040667
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90229547,0.97228637,0.90242609,0.97526536,0.72466539,0.94750000,0.82123510,0.93291629,0.90242609,0.91232837,0.88390704
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87528868,0.97998460,0.87831704,0.97892109,0.00000000,0.00000000,0.00000000,0.83000000,0.73193087,0.77757703,0.85623186
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.90406121,0.97998460,0.89818087,0.97892109,0.71505376,0.99750000,0.83298539,0.94809395,0.89818087,0.91589969,0.88782754
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.85065435,0.98229407,0.84579958,0.98214036,0.00000000,0.00000000,0.00000000,0.83333333,0.70483298,0.76336661,0.83080432
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.87816363,0.98229407,0.86608298,0.98214036,0.66609294,0.96750000,0.78899083,0.93000004,0.86608298,0.88841264,0.85726246
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.86528099,0.98229407,0.86714385,0.98214036,0.00000000,0.00000000,0.00000000,0.83114035,0.72261988,0.77252993,0.84586511
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.84520306,0.98229407,0.85261988,0.98214036,0.64329897,0.78000000,0.70508475,0.87804983,0.85261988,0.85478765,0.81443202
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84680523,0.98614319,0.85206704,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.71005587,0.76666831,0.82749009
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88287228,0.98614319,0.87672253,0.98562500,0.66777963,1.00000000,0.80080080,0.94462994,0.87672253,0.90013511,0.86464427
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.85373364,0.96920708,0.86358240,0.97240573,0.00000000,0.00000000,0.00000000,0.83012821,0.71965200,0.77013000,0.83447267
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.88640377,0.96920708,0.88506867,0.97240573,0.67979452,0.99250000,0.80691057,0.94034311,0.88506867,0.90309729,0.86813236
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.87759815,0.98460354,0.88219972,0.98414804,0.00000000,0.00000000,0.00000000,0.83008658,0.73516643,0.77931691,0.85873236
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.90641554,0.98460354,0.90183310,0.98414804,0.71942446,1.00000000,0.83682008,0.94999066,0.90183310,0.91878693,0.89062815
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.85989222,0.98691301,0.85723813,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.71436511,0.76900433,0.84040995
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89287816,0.98691301,0.88103177,0.98839036,0.68728522,1.00000000,0.81466395,0.94788087,0.88103177,0.90478166,0.87555003
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.86528099,0.98306390,0.86646299,0.98414804,0.00000000,0.00000000,0.00000000,0.82815735,0.72205249,0.76984929,0.84558197
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.86168334,0.98306390,0.86371916,0.98414804,0.66666667,0.85000000,0.74725275,0.89542484,0.86371916,0.86888058,0.83470292
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.87605851,0.97921478,0.87129190,0.97865573,0.00000000,0.00000000,0.00000000,0.83333333,0.72607658,0.77551353,0.85700634
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.89640965,0.97921478,0.88649325,0.97865573,0.70512821,0.96250000,0.81395349,0.93522970,0.88649325,0.90374417,0.87754174
