dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91775188,0.98903358,0.91613827,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.76344856,0.79669819,0.90311639
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92766727,0.98903358,0.93011522,0.98901536,0.62500000,1.00000000,0.76923077,0.93750000,0.93011522,0.92490331,0.91632197
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.89718986,0.98834818,0.89197277,0.98789804,0.00000000,0.00000000,0.00000000,0.83333333,0.74331064,0.78550189,0.88060760
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90958409,0.98834818,0.90997730,0.98789804,0.57142857,1.00000000,0.72727273,0.92857143,0.90997730,0.90671401,0.89639800
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91295408,0.98766278,0.91176327,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75980272,0.79480846,0.89779837
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92344786,0.98766278,0.92646939,0.98776536,0.61162080,1.00000000,0.75901328,0.93527013,0.92646939,0.92131067,0.91162708
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92940370,0.98834818,0.93119413,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.77599511,0.80347977,0.91618555
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93731163,0.98834818,0.94182845,0.98888268,0.65894040,0.99500000,0.79282869,0.94262083,0.94182845,0.93535795,0.92702087
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90404387,0.98766278,0.90166899,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75139083,0.79006807,0.88810635
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91561181,0.98766278,0.91805750,0.98776536,0.58823529,1.00000000,0.74074074,0.93137255,0.91805750,0.91352486,0.90304185
