dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98779986,0.99013023,0.98798883,0.99060615,0.00000000,0.00000000,0.00000000,0.82822462,0.82332402,0.82572855,0.98470347
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92019289,0.99013023,0.89449069,0.99060615,0.89279831,0.42700000,0.56820406,0.91926596,0.89449069,0.89008780,0.90593611
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97752117,0.98029253,0.97764804,0.98079190,0.00000000,0.00000000,0.00000000,0.82406791,0.81470670,0.81927912,0.97162551
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.80400235,0.98029253,0.85479004,0.98079190,0.80717396,0.24050000,0.35834046,0.81754131,0.85479004,0.79338379,0.78562252
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97906082,0.98306390,0.97934497,0.98354190,0.00000000,0.00000000,0.00000000,0.82397898,0.81612081,0.81992066,0.97359744
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92018835,0.98306390,0.93762081,0.98354190,0.94817680,0.72900000,0.81913188,0.91336442,0.93762081,0.91791896,0.90635034
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98167821,0.98491147,0.98179190,0.98508729,0.00000000,0.00000000,0.00000000,0.82453756,0.81815992,0.82126574,0.97679795
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87663331,0.98491147,0.90740992,0.98508729,0.94905265,0.53550000,0.68327026,0.88987975,0.90740992,0.87365970,0.86314266
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99060816,0.99183988,0.99028422,0.99200768,0.00000000,0.00000000,0.00000000,0.86112819,0.85824127,0.85964598,0.98808185
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.78846380,0.99183988,0.84723685,0.99200768,0.90383882,0.13200000,0.20875386,0.81313360,0.84723685,0.75907529,0.77461384
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98152778,0.98319444,0.98025000,0.98250000,0.00000000,0.00000000,0.00000000,0.82396441,0.81687500,0.82028004,0.97683195
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90234516,0.98319444,0.88204690,0.98250000,0.74721667,0.39103139,0.49439639,0.88673599,0.88204690,0.86908439,0.88617532
