dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.89513365,0.98971899,0.89206704,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.74338920,0.78556276,0.87851893
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90717300,0.98971899,0.90922253,0.98964036,0.56534091,0.99500000,0.72101449,0.92700857,0.90922253,0.90547204,0.89371230
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.84304318,0.98903358,0.83915154,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.69929295,0.76002142,0.82478757
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86196504,0.98903358,0.86595961,0.99000000,0.46620047,1.00000000,0.63593005,0.91103341,0.86595961,0.86600976,0.84607227
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86771761,0.99108979,0.86706704,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.72255587,0.77377668,0.84988291
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88366486,0.99108979,0.88922253,0.99138268,0.50890585,1.00000000,0.67453626,0.91815098,0.88922253,0.88619939,0.86880335
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.89444825,0.98766278,0.89784218,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.74820182,0.78826159,0.87801846
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90717300,0.98766278,0.91486848,0.98875000,0.56497175,1.00000000,0.72202166,0.92749529,0.91486848,0.90859853,0.89401370
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.88553804,0.98903358,0.88971718,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.74143098,0.78449631,0.86859362
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89873418,0.98903358,0.90726432,0.98950768,0.54371585,0.99500000,0.70318021,0.92337192,0.90726432,0.90143385,0.88476865
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85681293,0.97459584,0.85297835,0.97589036,0.00000000,0.00000000,0.00000000,0.82891832,0.71081529,0.76407055,0.83670938
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88816951,0.97459584,0.87581529,0.97589036,0.68512111,0.99000000,0.80981595,0.93891803,0.87581529,0.89703916,0.86954047
