dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98217958,0.98492118,0.98079609,0.98526536,0.00000000,0.00000000,0.00000000,0.82884685,0.81733007,0.82299476,0.97775244
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92525618,0.98492118,0.90233007,0.98526536,0.84297521,0.51000000,0.63551402,0.92358326,0.90233007,0.90488331,0.91104372
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98286498,0.98560658,0.98339036,0.98687500,0.00000000,0.00000000,0.00000000,0.82847216,0.81949197,0.82389150,0.97861614
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93309222,0.98560658,0.91449197,0.98687500,0.86363636,0.57000000,0.68674699,0.93004131,0.91449197,0.91652574,0.92001227
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98903358,0.99040439,0.98901536,0.99075768,0.00000000,0.00000000,0.00000000,0.83030869,0.82417947,0.82722066,0.98624362
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92224231,0.99040439,0.89667947,0.99075768,0.88775510,0.43500000,0.58389262,0.91843733,0.89667947,0.89333920,0.90810930
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98492118,0.98834818,0.98428073,0.98937500,0.00000000,0.00000000,0.00000000,0.82818449,0.82023394,0.82413305,0.98116425
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93490054,0.98834818,0.91523394,0.98937500,0.87692308,0.57000000,0.69090909,0.93151244,0.91523394,0.91693307,0.92244888
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98697738,0.98903358,0.98763268,0.99000000,0.00000000,0.00000000,0.00000000,0.82798449,0.82302723,0.82543188,0.98369245
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93128391,0.98903358,0.91052723,0.99000000,0.90517241,0.52500000,0.66455696,0.93392087,0.91052723,0.91250777,0.91859035
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97690531,0.97998460,0.97464036,0.97964036,0.00000000,0.00000000,0.00000000,0.82706944,0.81220030,0.81946923,0.97080007
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.84049441,0.97998460,0.87845030,0.97964036,0.89830508,0.39750000,0.55112652,0.85136430,0.87845030,0.84063185,0.81969774
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97074673,0.97228637,0.97352304,0.97575768,0.00000000,0.00000000,0.00000000,0.82157352,0.81126920,0.81616017,0.96325762
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74867569,0.97228637,0.81585254,0.97575768,0.34375000,0.02750000,0.05092593,0.74331959,0.81585254,0.72990179,0.74226766
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97998460,0.98383372,0.97950768,0.98437500,0.00000000,0.00000000,0.00000000,0.82673701,0.81625640,0.82141915,0.97468922
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.79281931,0.98383372,0.84708973,0.98437500,0.82222222,0.18500000,0.30204082,0.80287346,0.84708973,0.77634374,0.77347430
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98075443,0.98306390,0.97812500,0.98187500,0.00000000,0.00000000,0.00000000,0.82452299,0.81510417,0.81967592,0.97555000
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.77280753,0.98306390,0.83135417,0.98187500,0.79591837,0.09750000,0.17371938,0.83246782,0.83135417,0.77234879,0.76041880
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97998460,0.98691301,0.97964036,0.98687500,0.00000000,0.00000000,0.00000000,0.82649976,0.81636697,0.82139217,0.97470447
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.76574456,0.98691301,0.82803364,0.98687500,0.62222222,0.07000000,0.12584270,0.76393166,0.82803364,0.74057895,0.74807284
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97921478,0.98460354,0.97776536,0.98464036,0.00000000,0.00000000,0.00000000,0.82802330,0.81480447,0.82133234,0.97372536
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.92054149,0.98460354,0.93647114,0.98464036,0.94193548,0.73000000,0.82253521,0.92183137,0.93647114,0.92554752,0.90553259
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97613549,0.99307159,0.97901536,0.99375000,0.00000000,0.00000000,0.00000000,0.82617624,0.81584614,0.82083738,0.97006561
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.93113596,0.99307159,0.94667947,0.99375000,0.93175074,0.78500000,0.85210312,0.93074254,0.94667947,0.93615163,0.91734570
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98306390,0.99153195,0.98339036,0.99125000,0.00000000,0.00000000,0.00000000,0.82885387,0.81949197,0.82411518,0.97864194
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.92230724,0.99153195,0.94032530,0.99125000,0.94462541,0.72500000,0.82036775,0.92823237,0.94032530,0.92916409,0.90862528
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.97921478,0.98691301,0.97714036,0.98562500,0.00000000,0.00000000,0.00000000,0.82605806,0.81428364,0.82007519,0.97366799
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.83990583,0.98691301,0.87886697,0.98562500,0.91176471,0.38750000,0.54385965,0.86865871,0.87886697,0.84967735,0.81925015
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97613549,0.98614319,0.97365573,0.98388268,0.00000000,0.00000000,0.00000000,0.82641975,0.81137977,0.81879294,0.96985917
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.93054738,0.98614319,0.94179644,0.98388268,0.93993994,0.78250000,0.85402456,0.93227623,0.94179644,0.93497854,0.91663015
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97844496,0.98229407,0.97526536,0.98089036,0.00000000,0.00000000,0.00000000,0.82552914,0.81272114,0.81897409,0.97269433
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.93172454,0.98229407,0.94272114,0.98089036,0.95412844,0.78000000,0.85832187,0.92343775,0.94272114,0.92668636,0.91937681
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96843726,0.97536567,0.97053073,0.97875000,0.00000000,0.00000000,0.00000000,0.82348306,0.80877561,0.81584560,0.96046071
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.79164214,0.97536567,0.84502561,0.97875000,0.76991150,0.21750000,0.33918129,0.84447970,0.84502561,0.79188831,0.78213489
