dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97710761,0.99013023,0.97587570,0.99060615,0.00000000,0.00000000,0.00000000,0.83245954,0.81322975,0.82268511,0.97168945
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96515973,0.99013023,0.95956308,0.99060615,0.84328219,0.87800000,0.85862176,0.96105862,0.95956308,0.95967247,0.95800166
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95842956,0.98029253,0.95325838,0.98079190,0.00000000,0.00000000,0.00000000,0.83138681,0.79438198,0.81226182,0.94872103
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.96197763,0.98029253,0.95663198,0.98079190,0.88349940,0.97350000,0.92625427,0.96987253,0.95663198,0.96248969,0.95386943
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95842956,0.98306390,0.95195531,0.98354190,0.00000000,0.00000000,0.00000000,0.83096707,0.79329609,0.81141828,0.94873725
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.96233078,0.98306390,0.95579609,0.98354190,0.88314665,0.97500000,0.92670216,0.96959595,0.95579609,0.96186304,0.95433331
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95642802,0.98491147,0.95037221,0.98508729,0.00000000,0.00000000,0.00000000,0.83185776,0.79197684,0.81123572,0.94638351
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.95397293,0.98491147,0.94964351,0.98508729,0.87303716,0.94600000,0.90788018,0.95677593,0.94964351,0.95239045,0.94408769
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96936105,0.99183988,0.96423184,0.99200768,0.00000000,0.00000000,0.00000000,0.83235087,0.80352654,0.81755021,0.96193729
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.97057092,0.99183988,0.96594320,0.99200768,0.91006457,0.97450000,0.94083757,0.97481634,0.96594320,0.96975829,0.96428721
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95888889,0.98319444,0.95475000,0.98250000,0.00000000,0.00000000,0.00000000,0.83070182,0.79562500,0.81265165,0.94966112
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94455803,0.98319444,0.93762799,0.98250000,0.76401309,0.85201794,0.80201898,0.94271948,0.93762799,0.93833469,0.93349020
