dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98917066,0.98944483,0.99002654,0.99027654,0.00000000,0.00000000,0.00000000,0.82808445,0.82502211,0.82649314,0.98641562
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.91018686,0.98944483,0.88068878,0.99027654,0.89060445,0.33400000,0.48052206,0.91175125,0.88068878,0.87256186,0.89463986
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98260200,0.98568129,0.98290922,0.98585615,0.00000000,0.00000000,0.00000000,0.82533746,0.81909101,0.82212137,0.97796471
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75361978,0.98568129,0.82075768,0.98585615,0.28963675,0.01000000,0.01931727,0.70232907,0.82075768,0.71670670,0.74172985
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98352579,0.98737490,0.98398115,0.98755307,0.00000000,0.00000000,0.00000000,0.82653545,0.81998429,0.82317713,0.97916580
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.80812242,0.98737490,0.85973429,0.98755307,0.82338167,0.23850000,0.34317539,0.82331526,0.85973429,0.79730960,0.79088137
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98398768,0.98491147,0.98463268,0.98575768,0.00000000,0.00000000,0.00000000,0.82457926,0.82052723,0.82246920,0.97970522
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.79117128,0.98491147,0.84802723,0.98575768,0.80597662,0.16500000,0.24754140,0.84891193,0.84802723,0.78103089,0.78952590
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99276366,0.99399538,0.99317807,0.99440154,0.00000000,0.00000000,0.00000000,0.83088677,0.82764839,0.82924475,0.99081412
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.84732195,0.99399538,0.89014839,0.99440154,0.96454992,0.37500000,0.53919467,0.87308983,0.89014839,0.84176020,0.83606455
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98486111,0.98680556,0.98425000,0.98637500,0.00000000,0.00000000,0.00000000,0.82636448,0.82020833,0.82320957,0.98099067
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88863500,0.98680556,0.86475243,0.98637500,0.78729698,0.26726457,0.39156255,0.88876740,0.86475243,0.85055121,0.87128380
