dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98766278,0.98766278,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82734703,0.82354807,0.82539831,0.98451217
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89210368,0.98766278,0.85604807,0.98825768,0.82978723,0.19500000,0.31578947,0.88736452,0.85604807,0.83690842,0.87400055
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82928075,0.82447917,0.82682777,0.98539406
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92043400,0.98834818,0.89531250,0.98937500,0.89473684,0.42500000,0.57627119,0.92249892,0.89531250,0.89367950,0.90606196
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82838609,0.82656250,0.82744013,0.98879961
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.90777577,0.99108979,0.87656250,0.99187500,0.92307692,0.30000000,0.45283019,0.91692289,0.87656250,0.86839752,0.89224662
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82688951,0.82500000,0.82584327,0.98626192
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91983122,0.99040439,0.89416667,0.99125000,0.91208791,0.41500000,0.57044674,0.92213061,0.89416667,0.89130564,0.90548817
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.98971899,0.99062500,0.99062500,0.00000000,0.00000000,0.00000000,0.82851888,0.82552083,0.82695621,0.98711032
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91078963,0.98971899,0.88135417,0.99062500,0.89333333,0.33500000,0.48727273,0.90983933,0.88135417,0.87251822,0.89540199
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98375000,0.98500000,0.00000000,0.00000000,0.00000000,0.82508412,0.81979167,0.82236540,0.97847528
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75515009,0.98383372,0.82229167,0.98500000,0.50000000,0.01500000,0.02912621,0.74190003,0.82229167,0.72691147,0.74115735
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97844496,0.97921478,0.98138268,0.98200768,0.00000000,0.00000000,0.00000000,0.82305599,0.81781890,0.82018898,0.97286432
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74985285,0.97921478,0.81906890,0.98200768,0.18750000,0.00750000,0.01442308,0.67551790,0.81906890,0.70865014,0.73699422
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98306390,0.98999230,0.98263268,0.98888268,0.00000000,0.00000000,0.00000000,0.82730110,0.81886057,0.82300970,0.97853493
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75161860,0.98999230,0.81886057,0.98888268,0.00000000,0.00000000,0.00000000,0.66011990,0.81886057,0.71250408,0.74434823
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98306390,0.98537336,0.98075768,0.98263268,0.00000000,0.00000000,0.00000000,0.82198473,0.81729807,0.81960753,0.97844150
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75573867,0.98537336,0.82021473,0.98263268,0.53846154,0.01750000,0.03389831,0.72584498,0.82021473,0.71250669,0.73997438
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98999230,0.98602304,0.99075768,0.00000000,0.00000000,0.00000000,0.82926137,0.82168587,0.82543523,0.98150753
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75573867,0.98999230,0.82335254,0.99075768,0.22222222,0.01000000,0.01913876,0.70826252,0.82335254,0.72296113,0.74617509
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98229407,0.98691301,0.98250000,0.98687500,0.00000000,0.00000000,0.00000000,0.82869340,0.81875000,0.82366359,0.97762204
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88816951,0.98691301,0.91583333,0.98687500,0.93574297,0.58250000,0.71802773,0.89724883,0.91583333,0.89686460,0.86989332
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.98152425,0.98460354,0.98437500,0.98687500,0.00000000,0.00000000,0.00000000,0.82479743,0.82031250,0.82234137,0.97676482
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.76751030,0.98460354,0.83239583,0.98687500,0.65909091,0.07250000,0.13063063,0.79922184,0.83239583,0.75920612,0.75421656
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98537336,0.98845266,0.98500000,0.98812500,0.00000000,0.00000000,0.00000000,0.82692294,0.82083333,0.82380739,0.98145904
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.76986463,0.98845266,0.83250000,0.98812500,0.73684211,0.07000000,0.12785388,0.77474889,0.83250000,0.73850307,0.75371889
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98383372,0.98537336,0.98276536,0.98450768,0.00000000,0.00000000,0.00000000,0.82309743,0.81897114,0.82100849,0.97943224
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.81695115,0.98537336,0.86480447,0.98450768,0.94827586,0.27500000,0.42635659,0.85214934,0.86480447,0.81740780,0.79841065
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98460354,0.99153195,0.98526536,0.99138268,0.00000000,0.00000000,0.00000000,0.82916608,0.82105447,0.82506483,0.98055088
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.79811654,0.99153195,0.85313780,0.99138268,0.83695652,0.19250000,0.31300813,0.79320742,0.85313780,0.77456639,0.77816742
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98768283,0.98768283,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82668736,0.82395833,0.82529007,0.98434161
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.87463214,0.98768283,0.90854167,0.98875000,0.97596154,0.50750000,0.66776316,0.89769920,0.90854167,0.87355184,0.86326347
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97844496,0.97921478,0.98138268,0.98200768,0.00000000,0.00000000,0.00000000,0.82270729,0.81781890,0.82002599,0.97286983
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.76280165,0.97921478,0.82823557,0.98200768,0.64102564,0.06250000,0.11389522,0.81801291,0.82823557,0.75164589,0.76371765
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98614319,0.98691301,0.98575768,0.98700768,0.00000000,0.00000000,0.00000000,0.82522454,0.82146473,0.82330851,0.98238549
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.76103590,0.98691301,0.82646473,0.98700768,0.66666667,0.03000000,0.05741627,0.81939774,0.82646473,0.74301027,0.76512311
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98614319,0.98691301,0.98450768,0.98575768,0.00000000,0.00000000,0.00000000,0.82323512,0.82042307,0.82178379,0.98235254
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.78281342,0.98691301,0.84083973,0.98575768,0.94230769,0.12250000,0.21681416,0.86470707,0.84083973,0.77186955,0.78183140
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98152425,0.98383372,0.98276536,0.98526536,0.00000000,0.00000000,0.00000000,0.82504197,0.81897114,0.82193765,0.97657663
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.77457328,0.98383372,0.83605447,0.98526536,0.80392157,0.10250000,0.18181818,0.84474275,0.83605447,0.76507688,0.77369388
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99384142,0.99461124,0.99375000,0.99500000,0.00000000,0.00000000,0.00000000,0.83125325,0.82812500,0.82967849,0.99215971
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.85815185,0.99461124,0.89770833,0.99500000,0.97660819,0.41750000,0.58493870,0.88412728,0.89770833,0.85531590,0.84717978
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.99384142,0.99846035,0.99500000,0.99875000,0.00000000,0.00000000,0.00000000,0.83177893,0.82916667,0.83045436,0.99218524
