dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98862234,0.98999315,0.98923115,0.99057961,0.00000000,0.00000000,0.00000000,0.82729525,0.82435929,0.82577433,0.98571607
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89559976,0.98999315,0.86052595,0.99057961,0.84860428,0.21700000,0.33023762,0.89063792,0.86052595,0.83911130,0.87850119
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98013857,0.98090839,0.98101536,0.98183729,0.00000000,0.00000000,0.00000000,0.82249505,0.81751280,0.81986794,0.97489557
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75467922,0.98090839,0.82126280,0.98183729,0.39013286,0.02250000,0.04239791,0.72543924,0.82126280,0.72408774,0.74166633
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98060046,0.98352579,0.98091690,0.98376536,0.00000000,0.00000000,0.00000000,0.82398142,0.81743075,0.82059312,0.97550411
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89417304,0.98352579,0.91968075,0.98376536,0.94838524,0.61350000,0.73752038,0.89423524,0.91968075,0.89360434,0.87812399
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98383372,0.98537336,0.98398883,0.98568575,0.00000000,0.00000000,0.00000000,0.82230458,0.81999069,0.82106083,0.97947291
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.79964685,0.98537336,0.85357402,0.98568575,0.89488603,0.20150000,0.30312707,0.84418007,0.85357402,0.78471907,0.79065027
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99137798,0.99183988,0.99113268,0.99175768,0.00000000,0.00000000,0.00000000,0.85957384,0.85898557,0.85923726,0.98903569
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.76539141,0.99183988,0.83119390,0.99175768,0.85442758,0.03150000,0.05999734,0.79283602,0.83119390,0.72677125,0.75331973
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98291667,0.98319444,0.98187500,0.98237500,0.00000000,0.00000000,0.00000000,0.82182396,0.81822917,0.81993160,0.97849498
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86349970,0.98319444,0.83362528,0.98237500,0.44311117,0.09237668,0.14667166,0.80721832,0.83362528,0.79470232,0.84396801
