dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.82692080,0.82250640,0.82465951,0.98280612
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87944545,0.98629198,0.83917307,0.98700768,0.66666667,0.10000000,0.17391304,0.85791675,0.83917307,0.81020612,0.86053224
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98629198,0.99108979,0.98651536,0.99138268,0.00000000,0.00000000,0.00000000,0.82758370,0.82209614,0.82479906,0.98278114
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.89632309,0.99108979,0.86209614,0.99138268,0.84210526,0.24000000,0.37354086,0.88734536,0.86209614,0.84465054,0.87857502
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99246059,0.99246059,0.99312500,0.99312500,0.00000000,0.00000000,0.00000000,0.82776168,0.82760417,0.82765726,0.99050772
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87944545,0.99246059,0.83677083,0.99312500,0.91666667,0.05500000,0.10377358,0.87973464,0.83677083,0.78991158,0.86146426
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98971899,0.98937500,0.99062500,0.00000000,0.00000000,0.00000000,0.82689273,0.82447917,0.82557490,0.98541355
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91139241,0.98971899,0.88281250,0.99062500,0.88607595,0.35000000,0.50179211,0.90906053,0.88281250,0.87481522,0.89586335
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.99040439,0.99013268,0.99075768,0.00000000,0.00000000,0.00000000,0.82731736,0.82511057,0.82618094,0.98707184
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91139241,0.99040439,0.88177723,0.99075768,0.93150685,0.34000000,0.49816850,0.91913231,0.88177723,0.87597304,0.89607108
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98383372,0.98383372,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.82709862,0.82187500,0.82444027,0.97953411
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75573867,0.98383372,0.82437500,0.98625000,0.33333333,0.01500000,0.02870813,0.73346405,0.82437500,0.74043563,0.74187481
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97151655,0.97151655,0.97477304,0.97477304,0.00000000,0.00000000,0.00000000,0.81651371,0.81231087,0.81400653,0.96419690
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74749853,0.97151655,0.81564420,0.97477304,0.36363636,0.02000000,0.03791469,0.69267574,0.81564420,0.70320223,0.73121555
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98768283,0.98768283,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82527557,0.82302723,0.82411300,0.98432792
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.77045321,0.98768283,0.83386057,0.98763268,0.89655172,0.06500000,0.12121212,0.80229999,0.83386057,0.73786387,0.75663496
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97228637,0.97382602,0.97089036,0.97214036,0.00000000,0.00000000,0.00000000,0.81971506,0.80907530,0.81435146,0.96494137
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74337846,0.97382602,0.80907530,0.97214036,0.00000000,0.00000000,0.00000000,0.66085203,0.80907530,0.71365909,0.72668686
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98537336,0.98768283,0.98553073,0.98839036,0.00000000,0.00000000,0.00000000,0.82387228,0.82127561,0.82242844,0.98147756
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75632725,0.98768283,0.82335894,0.98839036,0.35714286,0.01250000,0.02415459,0.73790439,0.82335894,0.72527787,0.75191947
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98152425,0.98614319,0.98125000,0.98562500,0.00000000,0.00000000,0.00000000,0.82855095,0.81770833,0.82307299,0.97665847
