dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98190541,0.98204249,0.98172765,0.98185265,0.00000000,0.00000000,0.00000000,0.91599099,0.91619227,0.91599673,0.97722569
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86497890,0.98204249,0.82010638,0.98185265,0.53333333,0.01200000,0.02337787,0.81008879,0.82010638,0.76952698,0.84430480
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97028483,0.97059276,0.96836034,0.96861034,0.00000000,0.00000000,0.00000000,0.86892760,0.87189374,0.87007020,0.96227394
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.76162448,0.97059276,0.82096695,0.96861034,0.53686912,0.08400000,0.12019723,0.73211062,0.82096695,0.72371329,0.74622115
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97059276,0.97105466,0.96826187,0.96888687,0.00000000,0.00000000,0.00000000,0.83523425,0.83906925,0.83686916,0.96264716
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.75573867,0.97105466,0.81655156,0.96888687,0.90386364,0.05800000,0.10627193,0.78910095,0.81655156,0.71871633,0.74006317
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96828329,0.96843726,0.96725419,0.96747765,0.00000000,0.00000000,0.00000000,0.86757196,0.87084695,0.86891867,0.95969429
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74243673,0.96843726,0.80754516,0.96747765,0.49285714,0.00900000,0.01757040,0.71705908,0.80754516,0.69925148,0.72815507
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97598152,0.97613549,0.97272416,0.97284916,0.00000000,0.00000000,0.00000000,0.94075785,0.94019320,0.94036221,0.96940626
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75632725,0.97613549,0.81777014,0.97284916,0.60000000,0.04300000,0.07261711,0.75521500,0.81777014,0.72574478,0.74219866
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96361111,0.96375000,0.95937500,0.95950000,0.00000000,0.00000000,0.00000000,0.89039160,0.89470833,0.89212339,0.95415014
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.83451594,0.96375000,0.79962864,0.95950000,0.20000000,0.00089686,0.00178571,0.73121580,0.79962864,0.74003811,0.81190561
