dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.87457162,0.97875257,0.86740922,0.97816341,0.00000000,0.00000000,0.00000000,0.83221477,0.72284101,0.77315123,0.85644304
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88908981,0.97875257,0.88867435,0.97816341,0.52368421,0.99500000,0.68620690,0.91894179,0.88867435,0.88726112,0.87402555
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86771761,0.98217958,0.86952863,0.98227304,0.00000000,0.00000000,0.00000000,0.83158680,0.72460719,0.77417408,0.84957201
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88245931,0.98217958,0.88960719,0.98227304,0.51030928,0.99000000,0.67346939,0.91545065,0.88960719,0.88590355,0.86694436
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.88827964,0.98286498,0.88729399,0.98191341,0.00000000,0.00000000,0.00000000,0.83276060,0.73941166,0.78323822,0.87112118
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.90174804,0.98286498,0.90607833,0.98191341,0.55248619,1.00000000,0.71174377,0.92484163,0.90607833,0.90186218,0.88792574
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88005483,0.98217958,0.88274791,0.98128841,0.00000000,0.00000000,0.00000000,0.83333333,0.73562325,0.78114673,0.86284515
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89391200,0.98217958,0.90145659,0.98128841,0.53208556,0.99500000,0.69337979,0.92145685,0.90145659,0.89645036,0.87962188
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.87388622,0.98629198,0.87269204,0.98602304,0.00000000,0.00000000,0.00000000,0.83219568,0.72724337,0.77607914,0.85589735
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88848704,0.98629198,0.89307670,0.98602304,0.52230971,0.99500000,0.68502582,0.91864778,0.89307670,0.88999148,0.87347638
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85065435,0.97690531,0.85769204,0.97602304,0.00000000,0.00000000,0.00000000,0.82570806,0.71474337,0.76568273,0.83051968
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87934079,0.97690531,0.87682670,0.97602304,0.67534722,0.97250000,0.79713115,0.92743352,0.87682670,0.89326262,0.85882875
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87836798,0.97151655,0.88125349,0.97339036,0.00000000,0.00000000,0.00000000,0.83168335,0.73437791,0.77931860,0.85958690
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.87639788,0.97151655,0.87937791,0.97339036,0.69047619,0.87000000,0.76991150,0.90516488,0.87937791,0.88454707,0.85202557
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87066975,0.98383372,0.87773045,0.98339036,0.00000000,0.00000000,0.00000000,0.83227176,0.73144204,0.77789665,0.85191632
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.82048264,0.98383372,0.84102537,0.98339036,0.61162791,0.65750000,0.63373494,0.85560605,0.84102537,0.83380536,0.78602474
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87990762,0.97228637,0.87890363,0.96615573,0.00000000,0.00000000,0.00000000,0.82978723,0.73241969,0.77797797,0.86084804
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90052972,0.97228637,0.89366969,0.96615573,0.71666667,0.96750000,0.82340426,0.93579838,0.89366969,0.90910243,0.88229954
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.84757506,0.96843726,0.85246508,0.96204609,0.00000000,0.00000000,0.00000000,0.82251082,0.71038757,0.76154124,0.82693199
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86933490,0.96843726,0.86705424,0.96204609,0.66666667,0.94000000,0.78008299,0.91260924,0.86705424,0.88070066,0.84596838
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.85065435,0.97844496,0.85358240,0.97789804,0.00000000,0.00000000,0.00000000,0.83215962,0.71131867,0.76669074,0.83120427
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.86874632,0.97844496,0.86590200,0.97789804,0.65780142,0.92750000,0.76970954,0.91820399,0.86590200,0.88405922,0.84472522
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.86528099,0.97074673,0.87023045,0.97151536,0.00000000,0.00000000,0.00000000,0.82494759,0.72519204,0.77108146,0.84526736
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.87404356,0.97074673,0.87560871,0.97151536,0.68371212,0.90250000,0.77801724,0.90772306,0.87560871,0.88356216,0.85003674
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.87836798,0.98306390,0.88026885,0.98263268,0.00000000,0.00000000,0.00000000,0.83119658,0.73355738,0.77860421,0.85952713
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.86992348,0.98306390,0.87397405,0.98263268,0.68356998,0.84250000,0.75475924,0.89779439,0.87397405,0.87739431,0.84403740
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.85681293,0.97228637,0.85769204,0.96767109,0.00000000,0.00000000,0.00000000,0.82420091,0.71474337,0.76527613,0.83630943
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.86639200,0.97228637,0.86432670,0.96767109,0.66852886,0.89750000,0.76627535,0.90108280,0.86432670,0.87522674,0.84085139
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.87451886,0.96920708,0.86786313,0.96342877,0.00000000,0.00000000,0.00000000,0.82742317,0.72321927,0.77160336,0.85463015
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.81989406,0.96920708,0.83030261,0.96342877,0.61927711,0.64250000,0.63067485,0.84910619,0.83030261,0.82815229,0.78446240
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.87374904,0.97921478,0.87134777,0.97964036,0.00000000,0.00000000,0.00000000,0.82986111,0.72612314,0.77433919,0.85430040
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.84167157,0.97921478,0.84903980,0.97964036,0.64692982,0.73750000,0.68925234,0.86886581,0.84903980,0.84952375,0.80978471
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.85450346,0.97228637,0.86434008,0.97388268,0.00000000,0.00000000,0.00000000,0.82317073,0.72028340,0.76688405,0.83437305
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.78340200,0.97228637,0.81236674,0.97388268,0.55250000,0.55250000,0.55250000,0.83274655,0.81236674,0.80247942,0.74453899
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.87528868,0.98306390,0.87937849,0.98312500,0.00000000,0.00000000,0.00000000,0.82418699,0.73281541,0.77436316,0.85579591
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.85579753,0.98306390,0.86489874,0.98312500,0.67446809,0.79250000,0.72873563,0.88337472,0.86489874,0.86340832,0.82730294
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.86528099,0.97074673,0.86778631,0.96704609,0.00000000,0.00000000,0.00000000,0.82587796,0.72315526,0.77101158,0.84513890
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.88228370,0.97074673,0.87940526,0.96704609,0.69060773,0.93750000,0.79533404,0.91761414,0.87940526,0.89204872,0.86033112
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.88452656,0.96612779,0.87786313,0.96017109,0.00000000,0.00000000,0.00000000,0.81997732,0.73155261,0.77288634,0.86423872
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.84108299,0.96612779,0.84821927,0.96017109,0.67146283,0.70000000,0.68543452,0.86324582,0.84821927,0.84541500,0.80955503
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.87990762,0.97998460,0.87969972,0.97428073,0.00000000,0.00000000,0.00000000,0.82993197,0.73308310,0.77826786,0.86091745
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.88758093,0.97998460,0.88516643,0.97428073,0.70463320,0.91250000,0.79520697,0.91597367,0.88516643,0.89480145,0.86569244
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.86682063,0.98306390,0.86839385,0.98240573,0.00000000,0.00000000,0.00000000,0.83114035,0.72366155,0.77313164,0.84743912
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.88463802,0.98306390,0.88074488,0.98240573,0.68795620,0.94250000,0.79535865,0.92418318,0.88074488,0.89468873,0.86351009
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.86836028,0.98229407,0.87344972,0.98039804,0.00000000,0.00000000,0.00000000,0.82792208,0.72787477,0.77425802,0.84882474
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.84873455,0.98229407,0.85870810,0.98039804,0.65416667,0.78500000,0.71363636,0.87916667,0.85870810,0.85918998,0.81871197
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.85296382,0.97228637,0.84790154,0.96592877,0.00000000,0.00000000,0.00000000,0.82973621,0.70658461,0.76303465,0.83263639
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.88287228,0.97228637,0.86991795,0.96592877,0.67586207,0.98000000,0.80000000,0.93329309,0.86991795,0.89250783,0.86293465
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.87451886,0.96997691,0.86786313,0.96017109,0.00000000,0.00000000,0.00000000,0.82857143,0.72321927,0.77215793,0.85472632
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.87522072,0.96997691,0.86946927,0.96017109,0.68823529,0.87750000,0.77142857,0.90130200,0.86946927,0.87951318,0.85018275
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.85000000,0.96666667,0.85312500,0.96125000,0.00000000,0.00000000,0.00000000,0.82653061,0.71093750,0.76393855,0.83089903
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.86349970,0.96666667,0.86938294,0.96125000,0.50236967,0.95067265,0.65736434,0.89984973,0.86938294,0.86862232,0.84494101
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.86527778,0.97569444,0.86875000,0.97250000,0.00000000,0.00000000,0.00000000,0.82560706,0.72395833,0.77107404,0.84633554
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.86109441,0.97569444,0.86297179,0.97250000,0.49865952,0.83408072,0.62416107,0.87751277,0.86297179,0.85883016,0.83864731
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.87152778,0.97430556,0.86875000,0.96875000,0.00000000,0.00000000,0.00000000,0.82971014,0.72395833,0.77317249,0.85294436
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.83343355,0.97430556,0.82186566,0.96875000,0.41853035,0.58744395,0.48880597,0.83424781,0.82186566,0.81901806,0.80318085
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.85416667,0.95625000,0.85625000,0.95250000,0.00000000,0.00000000,0.00000000,0.81250000,0.71354167,0.75886955,0.83339901
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.86470235,0.95625000,0.86899757,0.95250000,0.52261307,0.93273543,0.66988728,0.88746575,0.86899757,0.86430731,0.84464345
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.85972222,0.96041667,0.86062500,0.95375000,0.00000000,0.00000000,0.00000000,0.81153400,0.71718750,0.76048334,0.83883736
