dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91240576,0.98944483,0.91244483,0.98988268,0.00000000,0.00000000,0.00000000,0.83333333,0.76037069,0.79497118,0.89735777
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92272453,0.98944483,0.92670403,0.98988268,0.61037380,0.99800000,0.75726982,0.93484228,0.92670403,0.92107891,0.91088924
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91239415,0.97983064,0.91267318,0.98058729,0.00000000,0.00000000,0.00000000,0.83163957,0.76056099,0.79404670,0.89622135
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92254267,0.97983064,0.91981099,0.98058729,0.77280448,0.95550000,0.85439391,0.94446776,0.91981099,0.92808404,0.90743034
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91608930,0.98383372,0.91815712,0.98401536,0.00000000,0.00000000,0.00000000,0.82878904,0.76513094,0.79532229,0.90018285
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91618599,0.98383372,0.91788094,0.98401536,0.77847383,0.91650000,0.84127957,0.93129226,0.91788094,0.92068708,0.89932657
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92040031,0.98521940,0.92257751,0.98568575,0.00000000,0.00000000,0.00000000,0.83141639,0.76881459,0.79867140,0.90523474
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88640377,0.98521940,0.89814793,0.98568575,0.75033022,0.77600000,0.76012168,0.90040987,0.89814793,0.89144749,0.86456539
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91393380,0.99199384,0.91522975,0.99188268,0.00000000,0.00000000,0.00000000,0.83207408,0.76269146,0.79546349,0.89811893
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92654503,0.99199384,0.92394146,0.99188268,0.77911677,0.96750000,0.86261475,0.94956703,0.92394146,0.93286207,0.91244950
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91083333,0.98333333,0.91350000,0.98250000,0.00000000,0.00000000,0.00000000,0.83098086,0.76125000,0.79429803,0.89530860
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92218882,0.98333333,0.92716928,0.98250000,0.63891437,0.99551570,0.77789697,0.93649375,0.92716928,0.92345061,0.91004722
