dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92460589,0.98930775,0.92356983,0.98985615,0.00000000,0.00000000,0.00000000,0.83333333,0.76964153,0.79999031,0.91094523
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93261001,0.98930775,0.93480819,0.98985615,0.64643968,0.99100000,0.78148632,0.94010801,0.93480819,0.92977170,0.92175818
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92363356,0.98414165,0.92604330,0.98438268,0.00000000,0.00000000,0.00000000,0.83174685,0.77170275,0.80029269,0.90887623
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91771630,0.98414165,0.92145275,0.98438268,0.78277780,0.89850000,0.83451110,0.93521911,0.92145275,0.92346207,0.90183793
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92178599,0.98460354,0.92394134,0.98507961,0.00000000,0.00000000,0.00000000,0.83009711,0.76995112,0.79853511,0.90661113
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92430842,0.98460354,0.92536778,0.98507961,0.79155773,0.93250000,0.85613349,0.93864169,0.92536778,0.92881378,0.90894228
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93056197,0.98337182,0.93285754,0.98427654,0.00000000,0.00000000,0.00000000,0.82979246,0.77738128,0.80247841,0.91644226
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83178340,0.98337182,0.86254795,0.98427654,0.68326132,0.51100000,0.57424777,0.85547472,0.86254795,0.83821031,0.80801890
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.93071594,0.98799076,0.93064944,0.98725768,0.00000000,0.00000000,0.00000000,0.83205717,0.77554120,0.80256962,0.91687315
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93972925,0.98799076,0.93704120,0.98725768,0.81495705,0.96900000,0.88481257,0.95684537,0.93704120,0.94458892,0.92772721
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90958333,0.98083333,0.91200000,0.97862500,0.00000000,0.00000000,0.00000000,0.82991336,0.76000000,0.79317691,0.89375654
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92122670,0.98083333,0.92606876,0.97862500,0.63678731,0.99641256,0.77687379,0.93520181,0.92606876,0.92225083,0.90888457
