dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93008910,0.98971899,0.92738827,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.77282356,0.80174938,0.91684033
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93670886,0.98971899,0.93699022,0.98964036,0.65886288,0.98500000,0.78957916,0.94153091,0.93699022,0.93256871,0.92606328
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.89307745,0.98697738,0.89117668,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.74264723,0.78513181,0.87638754
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90596745,0.98697738,0.90931390,0.98812500,0.56179775,1.00000000,0.71942446,0.92696629,0.90931390,0.90503588,0.89260148
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.93145990,0.99040439,0.93109986,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.77591655,0.80352011,0.91839941
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93911995,0.99040439,0.94174988,0.99075768,0.66555184,0.99500000,0.79759519,0.94370858,0.94174988,0.93619286,0.92897757
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93214531,0.99040439,0.93320182,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.77766818,0.80436847,0.91925780
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93972272,0.99040439,0.94350151,0.99125000,0.66778523,0.99500000,0.79919679,0.94407716,0.94350151,0.93730821,0.92971608
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.93625771,0.98903358,0.93498254,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.77915212,0.80518176,0.92384107
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94153104,0.98903358,0.94248545,0.98950768,0.67820069,0.98000000,0.80163599,0.94425708,0.94248545,0.93775281,0.93143250
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91301001,0.98383372,0.91774791,0.98388268,0.00000000,0.00000000,0.00000000,0.83333333,0.76478992,0.79735896,0.89717903
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92583873,0.98383372,0.92603992,0.98388268,0.77400000,0.96750000,0.86000000,0.94926888,0.92603992,0.93421137,0.91159592
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.94072363,0.97459584,0.94570182,0.97763268,0.00000000,0.00000000,0.00000000,0.82921811,0.78808485,0.80785342,0.92812544
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94761624,0.97459584,0.94975151,0.97763268,0.84164859,0.97000000,0.90127758,0.95797318,0.94975151,0.95233069,0.93693002
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92763664,0.98845266,0.93060754,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.77550628,0.80329458,0.91335593
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92525015,0.98845266,0.92842295,0.98875000,0.79609544,0.91750000,0.85249710,0.93609197,0.92842295,0.92976357,0.90977139
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.92455735,0.98845266,0.92221718,0.98638268,0.00000000,0.00000000,0.00000000,0.83162587,0.76851432,0.79876718,0.90952243
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94114185,0.98845266,0.93434765,0.98638268,0.80566802,0.99500000,0.89038031,0.96363662,0.93434765,0.94613907,0.92986602
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.91224018,0.98537336,0.91394204,0.98526536,0.00000000,0.00000000,0.00000000,0.83122363,0.76161837,0.79418931,0.89619834
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.84873455,0.98537336,0.86870170,0.98526536,0.69647696,0.64250000,0.66840052,0.86912490,0.86870170,0.85486565,0.82102629
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.92455735,0.98768283,0.92515363,0.98776536,0.00000000,0.00000000,0.00000000,0.83225806,0.77096136,0.80006319,0.90987842
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93113596,0.98768283,0.92971136,0.98776536,0.79707113,0.95250000,0.86788155,0.94702143,0.92971136,0.93543976,0.91733328
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.92224788,0.97690531,0.93168645,0.98000000,0.00000000,0.00000000,0.00000000,0.82626263,0.77640538,0.80002362,0.90704850
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91642142,0.97690531,0.92598871,0.98000000,0.79249448,0.89750000,0.84173505,0.92663747,0.92598871,0.92229426,0.89937784
