dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96847156,0.98217958,0.96534218,0.98128841,0.00000000,0.00000000,0.00000000,0.83227848,0.80445182,0.81803619,0.96120915
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96021700,0.98217958,0.95445182,0.98128841,0.80357143,0.90000000,0.84905660,0.95607651,0.95445182,0.95447008,0.95203032
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96572995,0.98903358,0.96284218,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.80236848,0.81747017,0.95802032
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95177818,0.98903358,0.94403515,0.98950768,0.77272727,0.85000000,0.80952381,0.94750133,0.94403515,0.94493354,0.94186091
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96847156,0.98766278,0.96583450,0.98678073,0.00000000,0.00000000,0.00000000,0.83280591,0.80486208,0.81854026,0.96123772
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96986136,0.98766278,0.96819541,0.98678073,0.81327801,0.98000000,0.88888889,0.96622727,0.96819541,0.96565022,0.96396013
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96710075,0.98697738,0.96655377,0.98763268,0.00000000,0.00000000,0.00000000,0.83278146,0.80546148,0.81885122,0.95963408
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96021700,0.98697738,0.95712814,0.98763268,0.79475983,0.91000000,0.84848485,0.95609217,0.95712814,0.95568434,0.95212725
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96435915,0.98971899,0.96159218,0.98964036,0.00000000,0.00000000,0.00000000,0.83136095,0.80132682,0.81603867,0.95629083
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96745027,0.98971899,0.96632682,0.98964036,0.79838710,0.99000000,0.88392857,0.96291730,0.96632682,0.96264185,0.96121196
