dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92460589,0.98766278,0.92366830,0.98845461,0.00000000,0.00000000,0.00000000,0.83313492,0.76972358,0.79996110,0.91084915
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93273056,0.98766278,0.93505691,0.98845461,0.64550121,0.99200000,0.78158379,0.93965812,0.93505691,0.92972855,0.92184802
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.93364126,0.98029253,0.93461872,0.98007961,0.00000000,0.00000000,0.00000000,0.83111703,0.77884893,0.80398803,0.92002539
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92501471,0.98029253,0.92834893,0.98007961,0.80779794,0.89700000,0.84725043,0.93754413,0.92834893,0.92901629,0.91037311
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92455735,0.98799076,0.92731983,0.98777654,0.00000000,0.00000000,0.00000000,0.83024933,0.77276653,0.80013916,0.90979921
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92972337,0.98799076,0.93051653,0.98777654,0.80020210,0.94650000,0.86697458,0.94437924,0.93051653,0.93465791,0.91553561
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93210162,0.98183218,0.93455796,0.98188268,0.00000000,0.00000000,0.00000000,0.83131013,0.77879830,0.80405213,0.91833233
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.82260153,0.98183218,0.85663163,0.98188268,0.61724960,0.46700000,0.51391925,0.84719022,0.85663163,0.82925321,0.80127935
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92825250,0.98983834,0.92850559,0.98913268,0.00000000,0.00000000,0.00000000,0.83193899,0.77375466,0.80154942,0.91412056
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93749264,0.98983834,0.93500466,0.98913268,0.80945260,0.96750000,0.88115385,0.95478282,0.93500466,0.94235149,0.92506074
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90069444,0.97972222,0.90325000,0.97775000,0.00000000,0.00000000,0.00000000,0.83108191,0.75270833,0.78963472,0.88438664
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90679495,0.97972222,0.91040639,0.97775000,0.60061145,0.94618834,0.73266175,0.92551809,0.91040639,0.90890413,0.89199347
