dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93488691,0.98492118,0.93176327,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.77646939,0.80365735,0.92227375
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94213382,0.98492118,0.94230272,0.98526536,0.67687075,0.99500000,0.80566802,0.94556440,0.94230272,0.93767618,0.93237382
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90472927,0.98560658,0.90524791,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.75437325,0.79166298,0.88898844
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91561181,0.98560658,0.92020659,0.98687500,0.58875740,0.99500000,0.73977695,0.93089840,0.92020659,0.91469954,0.90299847
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92186429,0.98971899,0.92038059,0.99013268,0.00000000,0.00000000,0.00000000,0.83333333,0.76698382,0.79864124,0.90766326
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93007836,0.98971899,0.93198382,0.99013268,0.63461538,0.99000000,0.77343750,0.93800241,0.93198382,0.92702794,0.91875691
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92597670,0.98903358,0.92659218,0.99000000,0.00000000,0.00000000,0.00000000,0.83234127,0.77216015,0.80089737,0.91228148
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93369500,0.98903358,0.93716015,0.99000000,0.64918033,0.99000000,0.78415842,0.93902176,0.93716015,0.93086952,0.92283466
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.93557231,0.98903358,0.93435754,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.77863128,0.80494656,0.92303883
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94213382,0.98903358,0.94363128,0.99000000,0.67808219,0.99000000,0.80487805,0.94480364,0.94363128,0.93836956,0.93227623
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.92686682,0.97921478,0.92833450,0.97839036,0.00000000,0.00000000,0.00000000,0.83333333,0.77361208,0.80230319,0.91245260
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93761036,0.97921478,0.93569541,0.97839036,0.80371901,0.97250000,0.88009050,0.95593190,0.93569541,0.94358526,0.92526039
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.94380293,0.97074673,0.94547486,0.97325768,0.00000000,0.00000000,0.00000000,0.82760910,0.78789572,0.80699865,0.93147523
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93702178,0.97074673,0.94039572,0.97325768,0.84526559,0.91500000,0.87875150,0.93764630,0.94039572,0.93789904,0.92355904
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.94380293,0.98537336,0.94731145,0.98625000,0.00000000,0.00000000,0.00000000,0.83236434,0.78942621,0.81027459,0.93176551
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94467334,0.98537336,0.94734288,0.98625000,0.84035477,0.94750000,0.89071680,0.95224190,0.94734288,0.94848517,0.93309966
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.92532717,0.98152425,0.92507682,0.98000000,0.00000000,0.00000000,0.00000000,0.83219178,0.77089735,0.80029052,0.91058863
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94231901,0.98152425,0.93714735,0.98000000,0.80606061,0.99750000,0.89162011,0.96540919,0.93714735,0.94837937,0.93140071
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.92840647,0.98460354,0.92689595,0.98250000,0.00000000,0.00000000,0.00000000,0.83008658,0.77241329,0.80007320,0.91384496
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86344909,0.98460354,0.88116329,0.98250000,0.74358974,0.65250000,0.69507324,0.87649135,0.88116329,0.86673261,0.83854577
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.91377983,0.98383372,0.91699022,0.98437500,0.00000000,0.00000000,0.00000000,0.83223684,0.76415852,0.79651341,0.89790702
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.92230724,0.98383372,0.92249185,0.98437500,0.77393075,0.95000000,0.85297419,0.94228573,0.92249185,0.92915557,0.90697410
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.94072363,0.99230177,0.94632682,0.99312500,0.00000000,0.00000000,0.00000000,0.82630522,0.78860568,0.80665201,0.92793733
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.93996469,0.99230177,0.94485568,0.99312500,0.84269663,0.93750000,0.88757396,0.94585956,0.94485568,0.94300147,0.92751454
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.93071594,0.99230177,0.93744413,0.99187500,0.00000000,0.00000000,0.00000000,0.82929891,0.78120345,0.80426676,0.91671115
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.93819894,0.99230177,0.94162011,0.99187500,0.81740977,0.96250000,0.88404133,0.95233492,0.94162011,0.94488271,0.92573868
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.91608930,0.98537336,0.91886522,0.98562500,0.00000000,0.00000000,0.00000000,0.83223684,0.76572102,0.79747302,0.90037294
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.91759859,0.98537336,0.91947102,0.98562500,0.77358491,0.92250000,0.84150513,0.93349829,0.91947102,0.92348630,0.90081100
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.92147806,0.98614319,0.91697277,0.98388268,0.00000000,0.00000000,0.00000000,0.83116883,0.76414397,0.79579059,0.90606760
