dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92940370,0.99013023,0.92735405,0.99060615,0.00000000,0.00000000,0.00000000,0.83333333,0.77279504,0.80183348,0.91605861
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93779385,0.99013023,0.93929504,0.99060615,0.66033213,0.99900000,0.79496189,0.94327940,0.93929504,0.93427516,0.92755257
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.85712086,0.98029253,0.83334358,0.98079190,0.00000000,0.00000000,0.00000000,0.83333333,0.69445298,0.75379944,0.83704085
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89064155,0.98029253,0.86103631,0.98079190,0.68360452,0.99950000,0.81171911,0.94692728,0.86103631,0.88898844,0.87286137
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.84849885,0.98306390,0.82428701,0.98354190,0.00000000,0.00000000,0.00000000,0.83297491,0.68690584,0.74916557,0.82812667
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.88416716,0.98306390,0.85357251,0.98354190,0.67089914,1.00000000,0.80291620,0.94479143,0.85357251,0.88298494,0.86566730
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.83725943,0.98491147,0.81373045,0.98508729,0.00000000,0.00000000,0.00000000,0.83333333,0.67810871,0.74413948,0.81674659
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87533843,0.98491147,0.84460871,0.98508729,0.65424325,0.99900000,0.79060776,0.94165296,0.84460871,0.87571534,0.85582758
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86774442,0.99183988,0.84534358,0.99200768,0.00000000,0.00000000,0.00000000,0.83333333,0.70445298,0.76039613,0.84797332
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89852855,0.99183988,0.87086965,0.99200768,0.69954150,0.99850000,0.82261893,0.94898900,0.87086965,0.89720420,0.88156501
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86166667,0.98319444,0.84000000,0.98250000,0.00000000,0.00000000,0.00000000,0.83288345,0.70000000,0.75777477,0.84269823
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88021648,0.98319444,0.86666667,0.98250000,0.52900763,1.00000000,0.69186643,0.92105139,0.86666667,0.87308584,0.86449881
