dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92529130,0.98629198,0.92202863,0.98651536,0.00000000,0.00000000,0.00000000,0.83333333,0.76835719,0.79938731,0.91140984
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93429777,0.98629198,0.93502386,0.98651536,0.64724919,1.00000000,0.78585462,0.94120820,0.93502386,0.93036308,0.92363994
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.92734750,0.99108979,0.92538059,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.77115049,0.80096140,0.91372477
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93550332,0.99108979,0.93698382,0.99138268,0.65245902,0.99500000,0.78811881,0.94153005,0.93698382,0.93205471,0.92488529
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.94037012,0.99246059,0.93725559,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.78104632,0.80624937,0.92842942
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94755877,0.99246059,0.94771299,0.99312500,0.69686411,1.00000000,0.82135524,0.94947735,0.94771299,0.94314191,0.93854656
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92597670,0.99040439,0.92511522,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.77092935,0.80086699,0.91221457
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93490054,0.99040439,0.93759602,0.99125000,0.64935065,1.00000000,0.78740157,0.94155844,0.93759602,0.93210058,0.92433502
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92803290,0.99040439,0.92699022,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.77249185,0.80170232,0.91451444
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93670886,0.99040439,0.93915852,0.99075768,0.65573770,1.00000000,0.79207921,0.94262295,0.93915852,0.93371553,0.92635605
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85912240,0.98383372,0.83295740,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.69413117,0.75341920,0.83887209
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89170100,0.98383372,0.86038117,0.98625000,0.68556701,0.99750000,0.81262729,0.94589382,0.86038117,0.88836945,0.87382341
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87990762,0.97074673,0.86176327,0.97339036,0.00000000,0.00000000,0.00000000,0.83333333,0.71813606,0.76910628,0.86079335
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90818128,0.97074673,0.88480272,0.97339036,0.71942446,1.00000000,0.83682008,0.95323741,0.88480272,0.90857630,0.89249772
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.85758276,0.98768283,0.83447277,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.69539397,0.75531121,0.83728281
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89111242,0.98768283,0.86206064,0.98763268,0.68376068,1.00000000,0.81218274,0.94729345,0.86206064,0.89067500,0.87330114
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.83679754,0.97151655,0.81604399,0.96878841,0.00000000,0.00000000,0.00000000,0.83333333,0.68003666,0.74499942,0.81648910
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.87522072,0.97151655,0.84670333,0.96878841,0.65359477,1.00000000,0.79051383,0.94226580,0.84670333,0.87675172,0.85588186
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85219400,0.98768283,0.82148045,0.98789804,0.00000000,0.00000000,0.00000000,0.83333333,0.68456704,0.74616110,0.83176688
