dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87141878,0.98903358,0.87182053,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.72651711,0.77595875,0.85387499
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88655817,0.98903358,0.89268378,0.99000000,0.51651716,0.99700000,0.68009489,0.91889785,0.89268378,0.88907078,0.87187284
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.87159353,0.98352579,0.87090503,0.98390922,0.00000000,0.00000000,0.00000000,0.83134623,0.72575419,0.77436753,0.85251885
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89888170,0.98352579,0.89033752,0.98390922,0.70626949,0.98750000,0.82326104,0.94384197,0.89033752,0.90907588,0.88158771
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86728253,0.98768283,0.87168087,0.98842807,0.00000000,0.00000000,0.00000000,0.83246573,0.72640072,0.77527354,0.84859334
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89017069,0.98768283,0.88715072,0.98842807,0.69357785,0.96450000,0.80631424,0.93449779,0.88715072,0.90284231,0.87104657
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87190146,0.98444958,0.87366969,0.98545461,0.00000000,0.00000000,0.00000000,0.83234118,0.72805808,0.77629136,0.85297303
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85120659,0.98444958,0.85872474,0.98545461,0.65140752,0.78400000,0.70944207,0.88409788,0.85872474,0.86142440,0.82248940
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87682833,0.99199384,0.87985894,0.99207961,0.00000000,0.00000000,0.00000000,0.83268659,0.73321578,0.77928085,0.85843169
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90382578,0.99199384,0.89846578,0.99207961,0.71452775,0.99150000,0.83017261,0.94832209,0.89846578,0.91593100,0.88752908
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86347222,0.98416667,0.86550000,0.98387500,0.00000000,0.00000000,0.00000000,0.83111540,0.72125000,0.77179635,0.84522364
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88093806,0.98416667,0.88687033,0.98387500,0.53405750,0.99372197,0.69418995,0.91872276,0.88687033,0.88680482,0.86543033
