dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86771761,0.98684030,0.86687011,0.98671997,0.00000000,0.00000000,0.00000000,0.83322148,0.72239176,0.77352292,0.84998568
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88366486,0.98684030,0.88905843,0.98671997,0.51053864,1.00000000,0.67556467,0.91831125,0.88905843,0.88611704,0.86886611
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86081601,0.97829099,0.86275698,0.97774651,0.00000000,0.00000000,0.00000000,0.83066826,0.71896415,0.77022235,0.84135336
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88981754,0.97829099,0.88296415,0.97774651,0.68854279,0.98400000,0.81002453,0.93899143,0.88296415,0.90207389,0.87129371
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.85758276,0.97875289,0.85977235,0.97824651,0.00000000,0.00000000,0.00000000,0.82837065,0.71647696,0.76759090,0.83790475
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87333726,0.97875289,0.87056029,0.97824651,0.67181530,0.92450000,0.77520297,0.92226037,0.87056029,0.88572187,0.85159630
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.86728253,0.98029253,0.86842737,0.98012151,0.00000000,0.00000000,0.00000000,0.82962801,0.72368948,0.77250017,0.84787855
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87698646,0.98029253,0.87510615,0.98012151,0.68332444,0.90850000,0.77911356,0.91373769,0.87510615,0.88632704,0.85391694
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86096998,0.98352579,0.86460545,0.98249651,0.00000000,0.00000000,0.00000000,0.83013153,0.72050454,0.77073493,0.84157715
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87804591,0.98352579,0.87608787,0.98249651,0.67735602,0.93350000,0.78373386,0.92381799,0.87608787,0.89039142,0.85655510
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85486111,0.97888889,0.85987500,0.97762500,0.00000000,0.00000000,0.00000000,0.82955333,0.71656250,0.76816144,0.83642874
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84882742,0.97888889,0.85154008,0.97762500,0.45965628,0.80986547,0.58385809,0.87940213,0.85154008,0.84930646,0.82639526
