dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88279644,0.98217958,0.87884777,0.98128841,0.00000000,0.00000000,0.00000000,0.83277405,0.73237314,0.77907877,0.86528180
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89692586,0.98217958,0.89903980,0.98128841,0.54054054,1.00000000,0.70175439,0.92286414,0.89903980,0.89603783,0.88271838
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85743660,0.98766278,0.85473813,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.71228177,0.76780995,0.83927901
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87462327,0.98766278,0.87894844,0.98825768,0.49019608,1.00000000,0.65789474,0.91503268,0.87894844,0.87745908,0.85923579
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.84715559,0.98766278,0.84585545,0.98678073,0.00000000,0.00000000,0.00000000,0.83333333,0.70487954,0.76326613,0.82908702
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86558168,0.98766278,0.87154621,0.98678073,0.47281324,1.00000000,0.64205457,0.91213554,0.87154621,0.87027522,0.84995090
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88211103,0.98697738,0.88609986,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.73841655,0.78278455,0.86500033
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89632309,0.98697738,0.90508322,0.98763268,0.53763441,1.00000000,0.69930070,0.92293907,0.90508322,0.89933467,0.88236199
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86908842,0.98971899,0.86880936,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.72400780,0.77467523,0.85128022
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88487040,0.98971899,0.89067446,0.98964036,0.51150895,1.00000000,0.67681895,0.91858483,0.89067446,0.88747839,0.87006348
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.84064665,0.97690531,0.83852654,0.97727304,0.00000000,0.00000000,0.00000000,0.83093525,0.69877211,0.75885450,0.82059977
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87757504,0.97690531,0.86502211,0.97727304,0.66059603,0.99750000,0.79482072,0.93986124,0.86502211,0.89081552,0.85834057
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87066975,0.97151655,0.87316690,0.97276536,0.00000000,0.00000000,0.00000000,0.82812500,0.72763908,0.77335302,0.85126534
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89876398,0.97151655,0.89263908,0.97276536,0.70840787,0.99000000,0.82586027,0.94225497,0.89263908,0.90900309,0.88150453
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86836028,0.98229407,0.87148045,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.72623371,0.77582600,0.84935847
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89523249,0.98229407,0.88998371,0.98276536,0.69680851,0.98250000,0.81535270,0.94198945,0.88998371,0.90815757,0.87733093
