dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98971899,0.98901536,0.98964036,0.00000000,0.00000000,0.00000000,0.82602012,0.82417947,0.82506662,0.98620736
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87100663,0.98971899,0.82584614,0.98964036,0.28571429,0.01000000,0.01932367,0.78552368,0.82584614,0.78096640,0.85130293
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98697738,0.98697738,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.98674945,0.98812500,0.98737165,0.98360621
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86980108,0.98697738,0.82593750,0.98812500,1.00000000,0.01500000,0.02955665,0.88569883,0.82593750,0.76979627,0.85091123
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99138268,0.99138268,0.00000000,0.00000000,0.00000000,0.99148477,0.99138268,0.99139204,0.98878243
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87643159,0.99108979,0.83281890,0.99138268,1.00000000,0.04000000,0.07692308,0.89441672,0.83281890,0.78613022,0.85780540
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.99040439,0.99040439,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82486044,0.82604167,0.82534437,0.98795956
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90235081,0.99040439,0.86937500,0.99125000,0.96296296,0.26000000,0.40944882,0.90951765,0.86937500,0.85336779,0.88627097
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82635638,0.82458973,0.82540293,0.98622902
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89391200,0.98903358,0.85792307,0.98950768,0.90909091,0.20000000,0.32786885,0.89651758,0.85792307,0.83687377,0.87663107
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.98152425,0.97901536,0.98214036,0.00000000,0.00000000,0.00000000,0.81667531,0.81584614,0.81610367,0.97168265
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74749853,0.98152425,0.81584614,0.98214036,0.00000000,0.00000000,0.00000000,0.63269749,0.81584614,0.69771220,0.73511287
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97700768,0.97700768,0.00000000,0.00000000,0.00000000,0.81668603,0.81417307,0.81508223,0.96699136
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97382602,0.81417307,0.97700768,0.00000000,0.00000000,0.00000000,0.65573285,0.81417307,0.71121131,0.73231551
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98845266,0.98845266,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.98608201,0.98875000,0.98737209,0.98529669
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75573867,0.98845266,0.82395833,0.98875000,0.00000000,0.00000000,0.00000000,0.63639622,0.82395833,0.70207052,0.74645134
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98845266,0.98845266,0.98638268,0.98638268,0.00000000,0.00000000,0.00000000,0.98885341,0.98638268,0.98758008,0.98527138
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75632725,0.98845266,0.82240223,0.98638268,1.00000000,0.00250000,0.00498753,0.81528543,0.82240223,0.71837177,0.74426657
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98614319,0.98614319,0.98651536,0.98651536,0.00000000,0.00000000,0.00000000,0.82017188,0.82209614,0.82106986,0.98235773
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75397293,0.98614319,0.82209614,0.98651536,0.00000000,0.00000000,0.00000000,0.63267462,0.82209614,0.69896951,0.74357930
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98383372,0.98537336,0.98401536,0.98526536,0.00000000,0.00000000,0.00000000,0.82124349,0.82001280,0.82052253,0.97948655
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.84755739,0.98537336,0.88751280,0.98526536,0.95857988,0.40500000,0.56942004,0.86595994,0.88751280,0.84419368,0.83077758
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97536567,0.97767513,0.97937500,0.98125000,0.00000000,0.00000000,0.00000000,0.82004158,0.81614583,0.81785196,0.96899534
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.75927016,0.97767513,0.82572917,0.98125000,0.58974359,0.05750000,0.10478360,0.77289556,0.82572917,0.74959325,0.73985928
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98691301,0.98845266,0.98750000,0.98875000,0.00000000,0.00000000,0.00000000,0.82291935,0.82291667,0.82287451,0.98334378
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.78104768,0.98845266,0.84166667,0.98875000,0.95744681,0.11250000,0.20134228,0.82249000,0.84166667,0.75895536,0.76464623
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98537336,0.98537336,0.98500000,0.98500000,0.00000000,0.00000000,0.00000000,0.98640287,0.98500000,0.98567182,0.98134559
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.75338434,0.98537336,0.82083333,0.98500000,0.00000000,0.00000000,0.00000000,0.63684386,0.82083333,0.71198171,0.73693804
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98306390,0.98383372,0.98325768,0.98388268,0.00000000,0.00000000,0.00000000,0.81910335,0.81938140,0.81918783,0.97845728
