dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97532557,0.97875257,0.97356145,0.97816341,0.00000000,0.00000000,0.00000000,0.82157224,0.81130121,0.81622749,0.96908044
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89993972,0.97875257,0.86963454,0.97816341,0.84337349,0.35000000,0.49469965,0.90318274,0.86963454,0.86744329,0.88176498
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97738177,0.98217958,0.97789804,0.98227304,0.00000000,0.00000000,0.00000000,0.82333817,0.81491504,0.81903901,0.97170311
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90596745,0.98217958,0.87908170,0.98227304,0.81914894,0.38500000,0.52380952,0.89234113,0.87908170,0.87091114,0.88846956
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98217958,0.98423578,0.98128841,0.98316341,0.00000000,0.00000000,0.00000000,0.82357749,0.81774034,0.82060318,0.97758970
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89391200,0.98423578,0.85940701,0.98316341,0.86206897,0.25000000,0.38759690,0.89327126,0.85940701,0.84661236,0.87539256
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97875257,0.98423578,0.97767109,0.98365573,0.00000000,0.00000000,0.00000000,0.82327127,0.81472591,0.81886551,0.97340101
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91440627,0.98423578,0.88889257,0.98365573,0.86407767,0.44500000,0.58745875,0.91162603,0.88889257,0.88815478,0.89815056
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98286498,0.98629198,0.98289804,0.98602304,0.00000000,0.00000000,0.00000000,0.82612307,0.81908170,0.82249330,0.97852689
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89150090,0.98629198,0.85658170,0.98602304,0.80357143,0.22500000,0.35156250,0.88997486,0.85658170,0.84347565,0.87334444
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97151655,0.97613549,0.97115573,0.97651536,0.00000000,0.00000000,0.00000000,0.81226177,0.80929644,0.81064135,0.96389194
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.83872866,0.97613549,0.87721311,0.97651536,0.93678161,0.40750000,0.56794425,0.83641886,0.87721311,0.82704729,0.81869513
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96535797,0.96920708,0.96503841,0.97039804,0.00000000,0.00000000,0.00000000,0.81723032,0.80419867,0.81053391,0.95627677
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.77869335,0.96920708,0.83294867,0.97039804,0.77528090,0.17250000,0.28220859,0.78329548,0.83294867,0.76324500,0.75534840
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97613549,0.98229407,0.97638268,0.98263268,0.00000000,0.00000000,0.00000000,0.82226958,0.81365223,0.81789822,0.96983757
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.77633902,0.98229407,0.83490223,0.98263268,0.75000000,0.12750000,0.21794872,0.78742611,0.83490223,0.75646878,0.75690507
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96150885,0.97228637,0.95566341,0.96553073,0.00000000,0.00000000,0.00000000,0.81671846,0.79638617,0.80634911,0.95152098
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92466157,0.97228637,0.93055284,0.96553073,0.92000000,0.80500000,0.85866667,0.91069618,0.93055284,0.91843984,0.90915931
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95765974,0.96458814,0.95293645,0.96079609,0.00000000,0.00000000,0.00000000,0.80794945,0.79411371,0.80088520,0.94653587
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.77575044,0.96458814,0.82494704,0.96079609,0.76288660,0.18500000,0.29778672,0.78108355,0.82494704,0.75996467,0.75112043
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97459584,0.97767513,0.97490573,0.97977304,0.00000000,0.00000000,0.00000000,0.81916749,0.81242144,0.81565777,0.96789225
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88110653,0.97767513,0.90867144,0.97977304,0.93902439,0.57750000,0.71517028,0.88784037,0.90867144,0.88385844,0.86320602
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96381832,0.96843726,0.96490573,0.96964036,0.00000000,0.00000000,0.00000000,0.80607459,0.80408811,0.80483399,0.95425127
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.87168923,0.96843726,0.89950477,0.96964036,0.94628099,0.57250000,0.71339564,0.86200048,0.89950477,0.86364458,0.85221049
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98152425,0.98229407,0.98089036,0.98200768,0.00000000,0.00000000,0.00000000,0.82338510,0.81740864,0.82035033,0.97661241
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.85344320,0.98229407,0.89032530,0.98200768,0.93085106,0.43750000,0.59523810,0.84478195,0.89032530,0.84089174,0.83479762
