dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98752570,0.98821110,0.98764036,0.98826536,0.00000000,0.00000000,0.00000000,0.82535305,0.82303364,0.82415697,0.98430619
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89572031,0.98821110,0.86070030,0.98826536,0.89582718,0.22600000,0.34849182,0.89704482,0.86070030,0.84113819,0.87848772
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97536567,0.97767513,0.97505726,0.97810265,0.00000000,0.00000000,0.00000000,0.81923550,0.81254772,0.81576146,0.96888668
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.79399647,0.97767513,0.84671439,0.97810265,0.84235165,0.20500000,0.32217614,0.81062368,0.84671439,0.77710494,0.77698527
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97890685,0.97983064,0.97830726,0.97955726,0.00000000,0.00000000,0.00000000,0.81793501,0.81525605,0.81644816,0.97326936
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.86521483,0.97983064,0.89792272,0.97955726,0.94989650,0.49600000,0.64195299,0.87145096,0.89792272,0.86136995,0.84768910
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97844496,0.98075443,0.97810265,0.98110265,0.00000000,0.00000000,0.00000000,0.81611593,0.81508554,0.81541722,0.97267035
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.79682166,0.98075443,0.84958554,0.98110265,0.78965804,0.20700000,0.32054331,0.80519915,0.84958554,0.78027660,0.78037659
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98614319,0.98706697,0.98512919,0.98645112,0.00000000,0.00000000,0.00000000,0.82193413,0.82094099,0.82136616,0.98239210
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.83778693,0.98706697,0.88027432,0.98645112,0.93273191,0.35600000,0.46448968,0.87026405,0.88027432,0.82983659,0.82734884
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97847222,0.97902778,0.97787500,0.97862500,0.00000000,0.00000000,0.00000000,0.81454913,0.81489583,0.81457806,0.97287454
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90198437,0.97902778,0.88290779,0.97862500,0.88785092,0.40807175,0.50978462,0.89460521,0.88290779,0.85876748,0.88745532
