dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98012337,0.98629198,0.97941341,0.98651536,0.00000000,0.00000000,0.00000000,0.83091856,0.81617784,0.82345178,0.97530232
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95599759,0.98629198,0.94617784,0.98651536,0.85714286,0.78000000,0.81675393,0.95220842,0.94617784,0.94857002,0.94685210
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97326936,0.99108979,0.97168645,0.99138268,0.00000000,0.00000000,0.00000000,0.83225778,0.80973871,0.82078766,0.96699516
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96081977,0.99108979,0.95473871,0.99138268,0.82464455,0.87000000,0.84671533,0.95610009,0.95473871,0.95511935,0.95262417
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98355038,0.99246059,0.98352304,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.81960254,0.82640393,0.97954697
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95720313,0.99246059,0.94710254,0.99312500,0.86440678,0.76500000,0.81167109,0.95539321,0.94710254,0.95022370,0.94847984
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98012337,0.99040439,0.97842877,0.99125000,0.00000000,0.00000000,0.00000000,0.82954545,0.81535731,0.82234271,0.97529056
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.97106691,0.99040439,0.96619064,0.99125000,0.87864078,0.90500000,0.89162562,0.96502512,0.96619064,0.96548946,0.96499312
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98149417,0.99040439,0.98017109,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.81680924,0.82494299,0.97704283
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95298373,0.99040439,0.94097591,0.99075768,0.84659091,0.74500000,0.79255319,0.95035791,0.94097591,0.94454047,0.94337409
