dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96641535,0.98629198,0.96405796,0.98621997,0.00000000,0.00000000,0.00000000,0.83270539,0.80338163,0.81772240,0.95879178
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96311031,0.98629198,0.95988163,0.98621997,0.79621366,0.93900000,0.86159755,0.95838529,0.95988163,0.95788232,0.95570889
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.94811393,0.97659738,0.94097067,0.97687151,0.00000000,0.00000000,0.00000000,0.83206199,0.78414223,0.80704545,0.93663134
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.94855798,0.97659738,0.94247556,0.97687151,0.85234751,0.95000000,0.89837143,0.95883553,0.94247556,0.94936926,0.93756208
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.94580446,0.97813703,0.93856564,0.97814804,0.00000000,0.00000000,0.00000000,0.83104595,0.78213804,0.80558917,0.93378199
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.94490877,0.97813703,0.93913804,0.97814804,0.84738132,0.94200000,0.89196700,0.95396665,0.93913804,0.94543445,0.93309062
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.93933795,0.97844496,0.92947486,0.97827304,0.00000000,0.00000000,0.00000000,0.82934067,0.77456238,0.80051009,0.92617639
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.93490288,0.97844496,0.92797905,0.97827304,0.83131118,0.92050000,0.87305428,0.94394438,0.92797905,0.93434393,0.92100997
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.94826790,0.98229407,0.93841411,0.98133380,0.00000000,0.00000000,0.00000000,0.83146680,0.78201176,0.80547795,0.93677694
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.94973514,0.98229407,0.94109509,0.98133380,0.85404388,0.95450000,0.90092639,0.96290173,0.94109509,0.95033469,0.93914990
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94555556,0.97805556,0.93675000,0.97762500,0.00000000,0.00000000,0.00000000,0.82980003,0.78062500,0.80407310,0.93392374
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94936861,0.97805556,0.94295684,0.97762500,0.74550381,0.97399103,0.84451778,0.94824929,0.94295684,0.94216474,0.93992090
