dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98478410,0.98999315,0.98435265,0.99057961,0.00000000,0.00000000,0.00000000,0.83051629,0.82029388,0.82533201,0.98101884
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94333936,0.98999315,0.92712721,0.99057961,0.87608338,0.64100000,0.73756114,0.94215169,0.92712721,0.93036162,0.93226104
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97505774,0.98090839,0.97535265,0.98183729,0.00000000,0.00000000,0.00000000,0.82820994,0.81279388,0.82034934,0.96871448
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.93360800,0.98090839,0.94596054,0.98183729,0.92704704,0.79900000,0.85686208,0.92966557,0.94596054,0.93468611,0.92060915
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97474981,0.98352579,0.97362151,0.98376536,0.00000000,0.00000000,0.00000000,0.82653317,0.81135126,0.81876579,0.96832617
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95197175,0.98352579,0.95768459,0.98376536,0.93429998,0.87800000,0.90413413,0.94723868,0.95768459,0.95082384,0.94202362
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97675135,0.98537336,0.97532612,0.98568575,0.00000000,0.00000000,0.00000000,0.82717344,0.81277176,0.81983466,0.97076388
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.91806945,0.98537336,0.93402176,0.98568575,0.92877377,0.72750000,0.81413713,0.91621746,0.93402176,0.91488328,0.90478959
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98583526,0.99183988,0.98412151,0.99175768,0.00000000,0.00000000,0.00000000,0.83115711,0.82010126,0.82556004,0.98212728
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.91783402,0.99183988,0.93626792,0.99175768,0.94936984,0.69700000,0.79874214,0.91641794,0.93626792,0.91712134,0.90482712
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97791667,0.98319444,0.97600000,0.98237500,0.00000000,0.00000000,0.00000000,0.82694964,0.81333333,0.82000052,0.97243943
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92699940,0.98319444,0.91303438,0.98237500,0.81261145,0.59820628,0.66765617,0.92363237,0.91303438,0.91027784,0.91383065
