dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98423578,0.98629198,0.98365573,0.98700768,0.00000000,0.00000000,0.00000000,0.82939248,0.81971311,0.82448143,0.98030524
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92766727,0.98629198,0.90554644,0.98700768,0.85833333,0.51500000,0.64375000,0.92733231,0.90554644,0.90812203,0.91396802
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98149417,0.99108979,0.98115573,0.99138268,0.00000000,0.00000000,0.00000000,0.83176264,0.81762977,0.82458792,0.97698664
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95479204,0.99108979,0.94429644,0.99138268,0.86363636,0.76000000,0.80851064,0.95160776,0.94429644,0.94698395,0.94549345
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98903358,0.99246059,0.98901536,0.99312500,0.00000000,0.00000000,0.00000000,0.83083604,0.82417947,0.82747984,0.98625650
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94575045,0.99246059,0.92917947,0.99312500,0.91304348,0.63000000,0.74556213,0.94789381,0.92917947,0.93343985,0.93532125
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98423578,0.98971899,0.98316341,0.99062500,0.00000000,0.00000000,0.00000000,0.82777778,0.81930284,0.82346455,0.98031553
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94333936,0.98971899,0.92680284,0.99062500,0.88356164,0.64500000,0.74566474,0.94028288,0.92680284,0.92965256,0.93223824
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98492118,0.99040439,0.98477304,0.99075768,0.00000000,0.00000000,0.00000000,0.83281250,0.82064420,0.82664629,0.98123030
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94514768,0.99040439,0.92981087,0.99075768,0.86184211,0.65500000,0.74431818,0.94364167,0.92981087,0.93360972,0.93428421
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97613549,0.98383372,0.97789804,0.98625000,0.00000000,0.00000000,0.00000000,0.82962600,0.81491504,0.82219357,0.97002365
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.90994703,0.98383372,0.93074837,0.98625000,0.91749175,0.69500000,0.79089616,0.92366743,0.93074837,0.92226852,0.89375502
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96766744,0.97151655,0.96990573,0.97477304,0.00000000,0.00000000,0.00000000,0.82023371,0.80825477,0.81391979,0.95950772
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.92878164,0.97151655,0.94200477,0.97477304,0.92774566,0.80250000,0.86058981,0.91792849,0.94200477,0.92672253,0.91450418
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98306390,0.98768283,0.98339036,0.98763268,0.00000000,0.00000000,0.00000000,0.82988546,0.81949197,0.82464282,0.97861682
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93349029,0.98768283,0.94824197,0.98763268,0.94785276,0.77250000,0.85123967,0.92577258,0.94824197,0.93299413,0.92085287
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.96843726,0.97382602,0.96615573,0.97214036,0.00000000,0.00000000,0.00000000,0.82902606,0.80512977,0.81685628,0.96052696
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93819894,0.97382602,0.94512977,0.97214036,0.90810811,0.84000000,0.87272727,0.93024773,0.94512977,0.93563957,0.92526798
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97998460,0.98768283,0.97941341,0.98839036,0.00000000,0.00000000,0.00000000,0.83227848,0.81617784,0.82413424,0.97489726
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.95762213,0.98768283,0.96367784,0.98839036,0.93403694,0.88500000,0.90885751,0.95071164,0.96367784,0.95580577,0.94866571
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97151655,0.98614319,0.96839036,0.98562500,0.00000000,0.00000000,0.00000000,0.83280255,0.80699197,0.81956752,0.96452684
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.95997646,0.98614319,0.96074197,0.98562500,0.91111111,0.92250000,0.91677019,0.95952836,0.96074197,0.95997460,0.95114649
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96843726,0.97459584,0.97151536,0.97776536,0.00000000,0.00000000,0.00000000,0.82267227,0.80959614,0.81588011,0.96055200
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.96409653,0.97459584,0.96792947,0.97776536,0.92909535,0.95000000,0.93943140,0.96072962,0.96792947,0.96365246,0.95634986
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98075443,0.98845266,0.98026536,0.98776536,0.00000000,0.00000000,0.00000000,0.82724821,0.81688780,0.82201306,0.97571731
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.95585639,0.98845266,0.96272114,0.98776536,0.95108696,0.87500000,0.91145833,0.95069980,0.96272114,0.95562441,0.94656107
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.97844496,0.98691301,0.97539804,0.98477304,0.00000000,0.00000000,0.00000000,0.83067921,0.81283170,0.82158334,0.97291673
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.94526192,0.98691301,0.95241504,0.98477304,0.93314763,0.83750000,0.88274045,0.93989071,0.95241504,0.94506055,0.93376145
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97459584,0.98152425,0.97253841,0.98289804,0.00000000,0.00000000,0.00000000,0.81926362,0.81044867,0.81478491,0.96791797
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.93466745,0.98152425,0.94461534,0.98289804,0.94705882,0.80500000,0.87027027,0.92534491,0.94461534,0.92980718,0.92229926
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97536567,0.98999230,0.97428073,0.99062500,0.00000000,0.00000000,0.00000000,0.83027284,0.81190061,0.82094525,0.96909815
