dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96600411,0.98862234,0.96732612,0.98932961,0.00000000,0.00000000,0.00000000,0.83149963,0.80610510,0.81844371,0.95840557
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96094033,0.98862234,0.96010510,0.98932961,0.79664657,0.92400000,0.85419274,0.95353340,0.96010510,0.95520278,0.95326289
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96104696,0.98398768,0.96390573,0.98445461,0.00000000,0.00000000,0.00000000,0.83093863,0.80325477,0.81675152,0.95199005
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.90088287,0.98398768,0.92083811,0.98445461,0.84564081,0.70550000,0.75079031,0.90797845,0.92083811,0.90452139,0.88504407
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96581986,0.98737490,0.96659916,0.98767807,0.00000000,0.00000000,0.00000000,0.82942762,0.80549930,0.81714384,0.95762639
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92289582,0.98737490,0.93608264,0.98767807,0.88082591,0.78350000,0.82295110,0.92336758,0.93608264,0.92371796,0.90883984
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96936105,0.98352579,0.97194344,0.98403422,0.00000000,0.00000000,0.00000000,0.82775582,0.80995286,0.81863334,0.96185634
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.76185992,0.98352579,0.82461953,0.98403422,0.30899287,0.08800000,0.12638199,0.76658476,0.82461953,0.75336759,0.75772222
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97305620,0.99153195,0.97372416,0.99160615,0.00000000,0.00000000,0.00000000,0.82982082,0.81143680,0.82038246,0.96646961
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93254856,0.99153195,0.94493680,0.99160615,0.90464792,0.80100000,0.84194034,0.92601844,0.94493680,0.92917944,0.92085471
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95930556,0.98444444,0.96050000,0.98387500,0.00000000,0.00000000,0.00000000,0.82978298,0.80041667,0.81472216,0.95017945
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.96199639,0.98444444,0.96364537,0.98387500,0.80109885,0.97937220,0.88106490,0.95914455,0.96364537,0.95946032,0.95473480
